"","id10","N","dec10","grp10","anio","comuna"
"1","A060",1,"Disenteria amebiana aguda","",2001,"Quintero"
"2","A162",1,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica","",2001,"Quintero"
"3","A165",1,"Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica e histologica","",2001,"Quintero"
"4","A167",1,"Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica e histologica","",2001,"Quintero"
"5","A180",1,"Tuberculosis de huesos y articulaciones","",2001,"Quintero"
"6","A181",1,"Tuberculosis del aparato genitourinario","",2001,"Quintero"
"7","A379",4,"Tos ferina, no especificada","",2001,"Quintero"
"8","A419",3,"Septicemia, no especificada","",2001,"Quintero"
"9","A499",1,"Infeccion bacteriana, no especificada","",2001,"Quintero"
"10","B069",1,"Rubeola sin complicaciones","",2001,"Quintero"
"11","B082",1,"Exantema subito [sexta enfermedad]","",2001,"Quintero"
"12","B159",1,"Hepatitis aguda tipo a, con coma hepatico","",2001,"Quintero"
"13","B663",1,"Fascioliasis","",2001,"Quintero"
"14","B829",1,"Parasitosis intestinal, sin otra especificacion","",2001,"Quintero"
"15","B889",1,"Infestacion, no especificada","",2001,"Quintero"
"16","C159",1,"Tumor maligno del esofago, parte no especificada","",2001,"Quintero"
"17","C169",4,"Tumor maligno del estomago, parte no especificada","",2001,"Quintero"
"18","C186",1,"Tumor maligno del colon descendente","",2001,"Quintero"
"19","C249",1,"Tumor maligno de las vias biliares, parte no especificada","",2001,"Quintero"
"20","C250",1,"Tumor maligno de la cabeza del pancreas","",2001,"Quintero"
"21","C259",2,"Tumor maligno del pancreas, parte no especificada","",2001,"Quintero"
"22","C349",2,"Tumor maligno de los bronquios o del pulmon, parte no especificada","",2001,"Quintero"
"23","C439",1,"Melanoma maligno de piel, sitio no especificado","",2001,"Quintero"
"24","C443",1,"Tumor maligno de la piel de otras partes y de las no especificadas de la cara","",2001,"Quintero"
"25","C445",1,"Tumor maligno de la piel del tronco","",2001,"Quintero"
"26","C493",1,"Tumor maligno del tejido conjuntivo y tejido blando del torax","",2001,"Quintero"
"27","C509",7,"Tumor maligno de la mama, parte no especificada","",2001,"Quintero"
"28","C539",7,"Tumor maligno del cuello del utero, sin otra especificacion","",2001,"Quintero"
"29","C629",3,"Tumor maligno del testiculo, no especificado","",2001,"Quintero"
"30","C679",2,"Tumor maligno de la vejiga urinaria, parte no especificada","",2001,"Quintero"
"31","C720",1,"Tumor maligno de la medula espinal","",2001,"Quintero"
"32","C762",2,"Tumor maligno del abdomen","",2001,"Quintero"
"33","C859",2,"Linfoma no hodgkin, no especificado","",2001,"Quintero"
"34","C900",3,"Mieloma multiple","",2001,"Quintero"
"35","C910",1,"Leucemia linfoblastica aguda","",2001,"Quintero"
"36","C920",4,"Leucemia mieloide aguda","",2001,"Quintero"
"37","D047",1,"Carcinoma in situ de la piel del miembro inferior, incluida la cadera","",2001,"Quintero"
"38","D059",1,"Carcinoma in situ de la mama, parte no especificada","",2001,"Quintero"
"39","D126",2,"Tumor benigno del colon, parte no especificada","",2001,"Quintero"
"40","D172",2,"Tumor benigno lipomatoso de piel y de tejido subcutaneo de miembros","",2001,"Quintero"
"41","D259",9,"Leiomioma del utero, sin otra especificacion","",2001,"Quintero"
"42","D269",4,"Tumor benigno del utero, parte no especificada","",2001,"Quintero"
"43","D303",1,"Tumor benigno de la vejiga","",2001,"Quintero"
"44","D367",1,"Tumor benigno de otros sitios especificados","",2001,"Quintero"
"45","D377",1,"Tumor de comportamiento incierto o desconocido de otros organos digestivos especificados","",2001,"Quintero"
"46","D390",1,"Tumor de comportamiento incierto o desconocido del utero","",2001,"Quintero"
"47","D391",3,"Tumor de comportamiento incierto o desconocido del ovario","",2001,"Quintero"
"48","D397",1,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos","",2001,"Quintero"
"49","D400",1,"Tumor de comportamiento incierto o desconocido de la prostata","",2001,"Quintero"
"50","D401",4,"Tumor de comportamiento incierto o desconocido del testiculo","",2001,"Quintero"
"51","D410",1,"Tumor de comportamiento incierto o desconocido del riñon","",2001,"Quintero"
"52","D477",1,"Otros tumores especificados de comportamiento incierto o desconocido del tejido linfatico, de los organos hematopoyeticos y de tejidos afines","",2001,"Quintero"
"53","D480",1,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular","",2001,"Quintero"
"54","D485",1,"Tumor de comportamiento incierto o desconocido de la piel","",2001,"Quintero"
"55","D486",5,"Tumor de comportamiento incierto o desconocido de la mama","",2001,"Quintero"
"56","D487",2,"Tumor de comportamiento incierto o desconocido de otros sitios especificados","",2001,"Quintero"
"57","D509",1,"Anemia por deficiencia de hierro sin otra especificacion","",2001,"Quintero"
"58","D593",1,"Sindrome hemolitico","",2001,"Quintero"
"59","D619",4,"Anemia aplastica, sin otra especificacion","",2001,"Quintero"
"60","D649",4,"Anemia de tipo no especificado","",2001,"Quintero"
"61","D694",1,"Otras trombocitopenias primarias","",2001,"Quintero"
"62","D759",1,"Enfermedad de la sangre y de los organos hematopoyeticos, no especificada","",2001,"Quintero"
"63","E040",1,"Bocio difuso no toxico","",2001,"Quintero"
"64","E050",2,"Tirotoxicosis con bocio difuso","",2001,"Quintero"
"65","E059",2,"Tirotoxicosis, no especificada","",2001,"Quintero"
"66","E108",1,"Diabetes mellitus insulinodependiente con complicaciones no especificadas","",2001,"Quintero"
"67","E115",5,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas","",2001,"Quintero"
"68","E116",2,"Diabetes mellitus no insulinodependiente con otras complicaciones especificadas","",2001,"Quintero"
"69","E118",1,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas","",2001,"Quintero"
"70","E119",2,"Diabetes mellitus no insulinodependiente sin mencion de complicacion","",2001,"Quintero"
"71","E136",1,"Otras diabetes mellitus especificadas con otras complicaciones especificadas","",2001,"Quintero"
"72","E145",11,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas","",2001,"Quintero"
"73","E147",1,"Diabetes mellitus, no especificada con complicaciones multiples","",2001,"Quintero"
"74","E148",1,"Diabetes mellitus, no especificada con complicaciones no especificadas","",2001,"Quintero"
"75","E149",6,"Diabetes mellitus, no especificada sin mencion de complicacion","",2001,"Quintero"
"76","E162",2,"Hipoglicemia , no especificada","",2001,"Quintero"
"77","E271",1,"Insuficiencia corticosuprarrenal primaria","",2001,"Quintero"
"78","E348",1,"Otros trastornos endocrinos especificados","",2001,"Quintero"
"79","E440",1,"Desnutricion proteicocalorica moderada","",2001,"Quintero"
"80","E441",1,"Desnutricion proteicocalorica leve","",2001,"Quintero"
"81","E755",1,"Otros trastornos del almacenamiento de lipidos","",2001,"Quintero"
"82","E781",1,"Hipergliceridemia pura","",2001,"Quintero"
"83","E849",2,"Fibrosis quistica, sin otra especificacion","",2001,"Quintero"
"84","E878",1,"Otros trastornos del equilibrio de los electrolitos y de los liquidos, no clasificados en otra parte","",2001,"Quintero"
"85","E881",1,"Lipodistrofia, no clasificada en otra parte","",2001,"Quintero"
"86","F019",1,"Demencia vascular, no especificada","",2001,"Quintero"
"87","F063",1,"Trastornos del humor [afectivos], organicos","",2001,"Quintero"
"88","F069",15,"Trastorno mental no especificado debido a lesion y disfuncion cerebral y a enfermedad fisica","",2001,"Quintero"
"89","F172",1,"Trastornos mentales y del comportamiento debidos al uso de tabaco: sindrome de dependencia","",2001,"Quintero"
"90","F192",2,"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome de dependencia","",2001,"Quintero"
"91","F200",1,"Esquizofrenia paranoide","",2001,"Quintero"
"92","F209",24,"Esquizofrenia, no especificada","",2001,"Quintero"
"93","F302",1,"Mania con sintomas psicoticos","",2001,"Quintero"
"94","F310",1,"Trastorno afectivo bipolar, episodio hipomaniaco presente","",2001,"Quintero"
"95","F319",4,"Trastorno afectivo bipolar, no especificado","",2001,"Quintero"
"96","F329",1,"Episodio depresivo, no especificado","",2001,"Quintero"
"97","F411",1,"Trastorno de ansiedad generalizada","",2001,"Quintero"
"98","F459",1,"Trastorno somatomorfo, no especificado","",2001,"Quintero"
"99","G008",1,"Otras meningitis bacterianas","",2001,"Quintero"
"100","G030",2,"Meningitis apiogena","",2001,"Quintero"
"101","G301",1,"Enfermedad de alzheimer comienzo tardio","",2001,"Quintero"
"102","G439",3,"Migraña, no especificada","",2001,"Quintero"
"103","G442",1,"Cefalea debida a tension","",2001,"Quintero"
"104","G458",1,"Otras isquemias cerebrales transitorias y sindromes afines","",2001,"Quintero"
"105","G560",5,"Sindrome del tunel carpiano","",2001,"Quintero"
"106","G561",1,"Otras lesiones del nervio mediano","",2001,"Quintero"
"107","G629",1,"Polineuropatia, no especificada","",2001,"Quintero"
"108","G822",1,"Paraplejia, no especificada","",2001,"Quintero"
"109","G939",1,"Trastorno del encefalo, no especificado","",2001,"Quintero"
"110","H000",1,"Orzuelo y otras inflamaciones profundas del parpado","",2001,"Quintero"
"111","H181",1,"Queratopatia vesicular","",2001,"Quintero"
"112","H259",1,"Catarata senil, no especificada","",2001,"Quintero"
"113","H269",11,"Catarata, no especificada","",2001,"Quintero"
"114","H271",1,"Luxacion del cristalino","",2001,"Quintero"
"115","H353",1,"Degeneracion de la macula y del polo posterior del ojo","",2001,"Quintero"
"116","H402",1,"Glaucoma primario de angulo cerrado","",2001,"Quintero"
"117","H409",2,"Glaucoma, no especificado","",2001,"Quintero"
"118","H431",1,"Hemorragia del vitreo","",2001,"Quintero"
"119","H522",1,"Astigmatismo","",2001,"Quintero"
"120","H571",1,"Dolor ocular","",2001,"Quintero"
"121","H651",1,"Otra otitis media aguda, no supurativa","",2001,"Quintero"
"122","H662",1,"Otitis media supurativa cronica aticoantral","",2001,"Quintero"
"123","H819",3,"Trastorno de la funcion vestibular, no especificado","",2001,"Quintero"
"124","H919",1,"Hipoacusia, no especificada","",2001,"Quintero"
"125","H922",1,"Otorragia","",2001,"Quintero"
"126","I050",2,"Estenosis mitral","",2001,"Quintero"
"127","I051",1,"Insuficiencia mitral reumatica","",2001,"Quintero"
"128","I080",1,"Trastornos de las valvulas mitral y aortica","",2001,"Quintero"
"129","I119",2,"Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca (congestiva)","",2001,"Quintero"
"130","I120",1,"Enfermedad renal hipertensiva con insuficiencia renal","",2001,"Quintero"
"131","I200",2,"Angina inestable","",2001,"Quintero"
"132","I209",1,"Angina de pecho, no especificada","",2001,"Quintero"
"133","I219",4,"Infarto agudo del miocardio, sin otra especificacion","",2001,"Quintero"
"134","I256",1,"Isquemia silente del miocardio","",2001,"Quintero"
"135","I259",9,"Enfermedad isquemia cronica del corazon, no especificada","",2001,"Quintero"
"136","I313",1,"Derrame pericardico (no inflamatorio)","",2001,"Quintero"
"137","I350",2,"Estenosis (de la valvula) aortica","",2001,"Quintero"
"138","I420",1,"Cardiomiopatia dilatada","",2001,"Quintero"
"139","I442",1,"Bloqueo auriculoventricular completo","",2001,"Quintero"
"140","I460",1,"Paro cardiaco con resucitacion exitosa","",2001,"Quintero"
"141","I469",3,"Paro cardiaco, no especificado","",2001,"Quintero"
"142","I498",1,"Otras arritmias cardiacas especificadas","",2001,"Quintero"
"143","I500",2,"Insuficiencia cardiaca congestiva","",2001,"Quintero"
