"","id10","N","dec10","grp10","anio"
"1","A060",1,"Disenteria amebiana aguda","",2001
"2","A162",1,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica","",2001
"3","A165",1,"Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica e histologica","",2001
"4","A167",1,"Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica e histologica","",2001
"5","A180",1,"Tuberculosis de huesos y articulaciones","",2001
"6","A181",1,"Tuberculosis del aparato genitourinario","",2001
"7","A379",4,"Tos ferina, no especificada","",2001
"8","A419",3,"Septicemia, no especificada","",2001
"9","A499",1,"Infeccion bacteriana, no especificada","",2001
"10","B069",1,"Rubeola sin complicaciones","",2001
"11","B082",1,"Exantema subito [sexta enfermedad]","",2001
"12","B159",1,"Hepatitis aguda tipo a, con coma hepatico","",2001
"13","B663",1,"Fascioliasis","",2001
"14","B829",1,"Parasitosis intestinal, sin otra especificacion","",2001
"15","B889",1,"Infestacion, no especificada","",2001
"16","C159",1,"Tumor maligno del esofago, parte no especificada","",2001
"17","C169",4,"Tumor maligno del estomago, parte no especificada","",2001
"18","C186",1,"Tumor maligno del colon descendente","",2001
"19","C249",1,"Tumor maligno de las vias biliares, parte no especificada","",2001
"20","C250",1,"Tumor maligno de la cabeza del pancreas","",2001
"21","C259",2,"Tumor maligno del pancreas, parte no especificada","",2001
"22","C349",2,"Tumor maligno de los bronquios o del pulmon, parte no especificada","",2001
"23","C439",1,"Melanoma maligno de piel, sitio no especificado","",2001
"24","C443",1,"Tumor maligno de la piel de otras partes y de las no especificadas de la cara","",2001
"25","C445",1,"Tumor maligno de la piel del tronco","",2001
"26","C493",1,"Tumor maligno del tejido conjuntivo y tejido blando del torax","",2001
"27","C509",7,"Tumor maligno de la mama, parte no especificada","",2001
"28","C539",7,"Tumor maligno del cuello del utero, sin otra especificacion","",2001
"29","C629",3,"Tumor maligno del testiculo, no especificado","",2001
"30","C679",2,"Tumor maligno de la vejiga urinaria, parte no especificada","",2001
"31","C720",1,"Tumor maligno de la medula espinal","",2001
"32","C762",2,"Tumor maligno del abdomen","",2001
"33","C859",2,"Linfoma no hodgkin, no especificado","",2001
"34","C900",3,"Mieloma multiple","",2001
"35","C910",1,"Leucemia linfoblastica aguda","",2001
"36","C920",4,"Leucemia mieloide aguda","",2001
"37","D047",1,"Carcinoma in situ de la piel del miembro inferior, incluida la cadera","",2001
"38","D059",1,"Carcinoma in situ de la mama, parte no especificada","",2001
"39","D126",2,"Tumor benigno del colon, parte no especificada","",2001
"40","D172",2,"Tumor benigno lipomatoso de piel y de tejido subcutaneo de miembros","",2001
"41","D259",9,"Leiomioma del utero, sin otra especificacion","",2001
"42","D269",4,"Tumor benigno del utero, parte no especificada","",2001
"43","D303",1,"Tumor benigno de la vejiga","",2001
"44","D367",1,"Tumor benigno de otros sitios especificados","",2001
"45","D377",1,"Tumor de comportamiento incierto o desconocido de otros organos digestivos especificados","",2001
"46","D390",1,"Tumor de comportamiento incierto o desconocido del utero","",2001
"47","D391",3,"Tumor de comportamiento incierto o desconocido del ovario","",2001
"48","D397",1,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos","",2001
"49","D400",1,"Tumor de comportamiento incierto o desconocido de la prostata","",2001
"50","D401",4,"Tumor de comportamiento incierto o desconocido del testiculo","",2001
"51","D410",1,"Tumor de comportamiento incierto o desconocido del riñon","",2001
