"","id10","N","dec10","grp10"
"1","A010",1,"Fiebre tifoidea",""
"2","A080",1,"Enteritis debida a rotavirus",""
"3","A499",1,"Infeccion bacteriana, no especificada",""
"4","B002",1,"Gingivoestomatitis y faringoamigdalitis herpetica",""
"5","B019",2,"Varicela sin complicaciones",""
"6","B169",1,"Hepatitis aguda tipo b, sin agente delta y sin coma hepatico",""
"7","B199",4,"Hepatitis viral no especificada sin coma",""
"8","B259",1,"Enfermedad por virus citomegalico, no especificada",""
"9","C039",1,"Tumor maligno de la encia, parte no especificada",""
"10","C159",2,"Tumor maligno del esofago, parte no especificada",""
"11","C169",1,"Tumor maligno del estomago, parte no especificada",""
"12","C187",1,"Tumor maligno del colon sigmoide",""
"13","C189",2,"Tumor maligno del colon, parte no especificada",""
"14","C254",1,"Tumor maligno del pancreas endocrino",""
"15","C349",3,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"16","C440",1,"Tumor maligno de la piel del labio",""
"17","C539",1,"Tumor maligno del cuello del utero, sin otra especificacion",""
"18","C728",1,"Lesion de sitios contiguos del encefalo y otras partes del sistema nervioso central",""
"19","C859",1,"Linfoma no hodgkin, no especificado",""
"20","D049",1,"Carcinoma in situ de la piel, sitio no especificado",""
"21","D073",1,"Carcinoma in situ de otros sitios de organos genitales femeninos y de los no especificados",""
"22","D165",1,"Tumor benigno del maxilar inferior",""
"23","D259",2,"Leiomioma del utero, sin otra especificacion",""
"24","D269",8,"Tumor benigno del utero, parte no especificada",""
"25","D374",1,"Tumor de comportamiento incierto o desconocido del colon",""
"26","D377",1,"Tumor de comportamiento incierto o desconocido de otros organos digestivos especificados",""
"27","D391",1,"Tumor de comportamiento incierto o desconocido del ovario",""
"28","D400",1,"Tumor de comportamiento incierto o desconocido de la prostata",""
"29","D401",1,"Tumor de comportamiento incierto o desconocido del testiculo",""
"30","D410",2,"Tumor de comportamiento incierto o desconocido del riñon",""
"31","D471",1,"Enfermedad mieloproliferativa cronica",""
"32","D485",1,"Tumor de comportamiento incierto o desconocido de la piel",""
"33","D486",1,"Tumor de comportamiento incierto o desconocido de la mama",""
"34","D487",1,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"35","D489",1,"Tumor de comportamiento incierto o desconocido, de sitio no especificado",""
"36","D509",1,"Anemia por deficiencia de hierro sin otra especificacion",""
"37","D580",1,"Esferocitosis hereditaria",""
"38","D690",1,"Purpura alergica",""
"39","D693",2,"Purpura trombocitopenica idiopatica",""
"40","D696",1,"Trombocitopenia no especificada",""
"41","E041",2,"Nodulo tiroideo solitario no toxico",""
"42","E059",1,"Tirotoxicosis, no especificada",""
"43","E112",1,"Diabetes mellitus no insulinodependiente con complicaciones renales",""
"44","E115",4,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"45","E118",3,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"46","E145",1,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"47","E875",1,"Hiperpotasemia",""
"48","F059",1,"Delirio, no especificado",""
"49","F069",1,"Trastorno mental no especificado debido a lesion y disfuncion cerebral y a enfermedad fisica",""
"50","F102",1,"Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia",""
"51","F192",2,"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome de dependencia",""
"52","F209",1,"Esquizofrenia, no especificada",""
"53","F319",1,"Trastorno afectivo bipolar, no especificado",""
"54","F320",1,"Episodio depresivo leve",""
"55","F402",1,"Fobias especificadas [aisladas]",""
"56","F609",1,"Trastorno de la personalidad, no especificado",""
"57","G409",4,"Epilepsia, tipo no especificado",""
"58","G459",3,"Isquemia cerebral transitoria, sin otra especificacion",""
"59","G822",3,"Paraplejia, no especificada",""
"60","G839",1,"Sindrome paralitico, no especificado",""
"61","H269",4,"Catarata, no especificada",""
"62","H409",2,"Glaucoma, no especificado",""
"63","H500",2,"Estrabismo concomitante convergente",""
"64","H669",1,"Otitis media, no especificada",""
"65","H731",1,"Miringitis cronica",""
"66","H741",1,"Enfermedad adhesiva del oido medio",""
"67","I200",2,"Angina inestable",""
"68","I219",3,"Infarto agudo del miocardio, sin otra especificacion",""
"69","I259",3,"Enfermedad isquemia cronica del corazon, no especificada",""
"70","I442",1,"Bloqueo auriculoventricular completo",""
"71","I472",1,"Taquicardia ventricular",""
"72","I493",1,"Despolarizacion ventricular prematura",""
"73","I500",3,"Insuficiencia cardiaca congestiva",""
"74","I509",8,"Insuficiencia cardiaca, no especificada",""
"75","I519",3,"Enfermedad cardiaca, no especificada",""
"76","I609",1,"Hemorragia subaracnoidea, no especificada",""
"77","I619",1,"Hemorragia intraencefalica, no especificada",""
"78","I629",1,"Hemorragia intracraneal (no traumatica), no especificada",""
"79","I678",2,"Otras enfermedades cerebrovasculares especificadas",""
"80","I679",1,"Enfermedad cerebrovascular, no especificada",""
"81","I694",1,"Secuelas de accidente vascular encefalico, no especificado como hemorragico o isquemico",""
"82","I710",1,"Diseccion de aorta (cualquier parte)",""
"83","I749",1,"Embolia y trombosis de arteria no especificada",""
"84","I832",1,"Venas varicosas de los miembros inferiores con ulcera e inflamacion",""
"85","I849",3,"Hemorroides no especificadas, sin complicacion",""
"86","I850",1,"Varices esofagicas con hemorragia",""
"87","I880",1,"Linfadenitis mesenterica inespecifica",""
"88","J029",1,"Faringitis aguda, no especificada",""
"89","J040",2,"Laringitis aguda",""
"90","J069",2,"Infeccion aguda de las vias respiratorias superiores, no especificada",""
"91","J129",3,"Neumonia viral, no especificada",""
"92","J157",1,"Neumonia debida a mycoplasma pneumoniae",""
"93","J159",2,"Neumonia bacteriana, no especificada",""
"94","J180",11,"Bronconeumonia, no especificada",""
"95","J181",13,"Neumonia lobar, no especificada",""
"96","J189",12,"Neumonia, no especificada",""
"97","J209",10,"Bronquitis aguda, no especificada",""
