"","id10","N","dec10","grp10"
"1","A051",1,"Botulismo",""
"2","A080",1,"Enteritis debida a rotavirus",""
"3","A162",2,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"4","A419",13,"Septicemia, no especificada",""
"5","A493",1,"Infeccion por micoplasma, sin otra especificacion",""
"6","A562",1,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificacion",""
"7","A879",2,"Meningitis viral, sin otra especificacion",""
"8","B002",3,"Gingivoestomatitis y faringoamigdalitis herpetica",""
"9","B028",1,"Herpes zoster con otras complicaciones",""
"10","B082",1,"Exantema subito [sexta enfermedad]",""
"11","B203",1,"Enfermedad por vih, resultante en otras infecciones virales",""
"12","B340",1,"Infeccion debida a adenovirus, sin otra especificacion",""
"13","B341",3,"Infeccion debida a enterovirus, sin otra especificacion",""
"14","B349",4,"Infeccion viral, no especificada",""
"15","B879",1,"Miasis, no especificada",""
"16","C051",1,"Tumor maligno del paladar blando",""
"17","C159",13,"Tumor maligno del esofago, parte no especificada",""
"18","C161",1,"Tumor maligno del fundus gastrico",""
"19","C169",6,"Tumor maligno del estomago, parte no especificada",""
"20","C187",2,"Tumor maligno del colon sigmoide",""
"21","C189",8,"Tumor maligno del colon, parte no especificada",""
"22","C220",2,"Carcinoma de celulas hepaticas",""
"23","C250",2,"Tumor maligno de la cabeza del pancreas",""
"24","C252",1,"Tumor maligno de la cola del pancreas",""
"25","C259",2,"Tumor maligno del pancreas, parte no especificada",""
"26","C341",2,"Tumor maligno del lobulo superior, bronquio o pulmon",""
"27","C349",12,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"28","C384",2,"Tumor maligno de la pleura",""
"29","C439",1,"Melanoma maligno de piel, sitio no especificado",""
"30","C450",1,"Mesotelioma de la pleura",""
"31","C459",1,"Mesotelioma, de sitio no especificado",""
"32","C482",1,"Tumor maligno del peritoneo, sin otra especificacion",""
"33","C499",4,"Tumor maligno del tejido conjuntivo y tejido blando, de sitio no especificado",""
"34","C509",10,"Tumor maligno de la mama, parte no especificada",""
"35","C511",2,"Tumor maligno del labio menor",""
"36","C538",1,"Lesion de sitios contiguos del cuello del utero",""
"37","C539",8,"Tumor maligno del cuello del utero, sin otra especificacion",""
"38","C629",3,"Tumor maligno del testiculo, no especificado",""
"39","C679",2,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"40","C680",1,"Tumor maligno de la uretra",""
"41","C696",6,"Tumor maligno de la orbita",""
"42","C710",1,"Tumor maligno del cerebro, excepto lobulos y ventriculos",""
"43","C751",1,"Tumor maligno de la hipofisis",""
"44","C780",2,"Tumor maligno secundario del pulmon",""
"45","C798",1,"Tumor maligno secundario de otros sitios especificados",""
"46","C833",3,"Linfoma no hodgkin de celulas grandes (difuso)",""
"47","C859",8,"Linfoma no hodgkin, no especificado",""
"48","C900",1,"Mieloma multiple",""
"49","C910",7,"Leucemia linfoblastica aguda",""
"50","D048",1,"Carcinoma in situ de la piel de otros sitios especificados",""
"51","D125",1,"Tumor benigno del colon sigmoide",""
"52","D126",2,"Tumor benigno del colon, parte no especificada",""
"53","D131",1,"Tumor benigno del estomago",""
"54","D143",1,"Tumor benigno de los bronquios y del pulmon",""
"55","D229",4,"Nevo melanocitico, sitio no especificado",""
"56","D239",1,"Tumor benigno de la piel, sitio no especificado",""
"57","D250",1,"Leiomioma submucoso del utero",""
"58","D259",17,"Leiomioma del utero, sin otra especificacion",""
"59","D280",1,"Tumor benigno de la vulva",""
"60","D289",1,"Tumor benigno de organo genital femenino, sitio no especificado",""
"61","D291",3,"Tumor benigno de la prostata",""
"62","D292",1,"Tumor benigno de los testiculos",""
"63","D300",2,"Tumor benigno del riñon",""
"64","D370",1,"Tumor de comportamiento incierto o desconocido del labio, de la cavidad bucal y de la faringe",""
"65","D371",1,"Tumor de comportamiento incierto o desconocido del estomago",""
"66","D377",1,"Tumor de comportamiento incierto o desconocido de otros organos digestivos especificados",""
"67","D385",1,"Tumor de comportamiento incierto o desconocido de otros organos respiratorios y del oido medio",""
"68","D391",4,"Tumor de comportamiento incierto o desconocido del ovario",""
"69","D392",3,"Tumor de comportamiento incierto o desconocido de la placenta",""
"70","D400",4,"Tumor de comportamiento incierto o desconocido de la prostata",""
"71","D412",1,"Tumor de comportamiento incierto o desconocido del ureter",""
"72","D430",2,"Tumor de comportamiento incierto o desconocido del encefalo, supratentorial",""
"73","D480",1,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular",""
"74","D486",1,"Tumor de comportamiento incierto o desconocido de la mama",""
"75","D487",8,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"76","D509",1,"Anemia por deficiencia de hierro sin otra especificacion",""
"77","D531",1,"Otras anemias megaloblasticas, no clasificadas en otra parte",""
"78","D539",1,"Anemia nutricional, no especificada",""
"79","D649",8,"Anemia de tipo no especificado",""
"80","D689",2,"Defecto de la coagulacion, no especificado",""
"81","D690",3,"Purpura alergica",""
"82","D696",1,"Trombocitopenia no especificada",""
"83","D759",1,"Enfermedad de la sangre y de los organos hematopoyeticos, no especificada",""
"84","D819",1,"Inmunodeficiencia combinada, no especificada",""
"85","D823",1,"Inmunodeficiencia consecutiva a respuesta defectuosa hereditaria contra el virus de epstein",""
"86","E042",1,"Bocio multinodular no toxico",""
"87","E049",1,"Bocio no toxico, no especificado",""
"88","E059",1,"Tirotoxicosis, no especificada",""
"89","E101",1,"Diabetes mellitus insulinodependiente con cetoacidosis",""
"90","E109",2,"Diabetes mellitus insulinodependiente sin mencion de complicacion",""
"91","E111",1,"Diabetes mellitus no insulinodependiente con cetoacidosis",""
"92","E115",14,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"93","E118",1,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"94","E119",1,"Diabetes mellitus no insulinodependiente sin mencion de complicacion",""
"95","E140",1,"Diabetes mellitus, no especificada con coma",""
"96","E141",2,"Diabetes mellitus, no especificada con cetoacidosis",""
"97","E145",5,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
