FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
940101;0000;;62,5102;;
950101;0000;;53,9495;;
960101;0000;;47,1574;;
970101;0000;;42,6762;;
980101;0000;;38,9151;;
990101;0000;;35,9908;;
000101;0000;;32,4962;;
010101;0000;;28,9534;;
020101;0000;;29,0567;;
030101;0000;;30,2577;;
040101;0000;;26,8821;;
050101;0000;;25,4005;;
060101;0000;;24,1104;;
070101;0000;;36,439;;
080101;0000;;35,4961;;
090101;0000;;37,905;;
100101;0000;;33,9109;;
110101;0000;;;;
120101;0000;;;;
130101;0000;;;;
140101;0000;;;;
150101;0000;;;;
160101;0000;;39,4172;;
