FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;61,6325;;
940101;0000;;68,7607;;
950101;0000;;64,2562;;
960101;0000;;60,4505;;
970101;0000;;69,381;;
980101;0000;;74,9;;
990101;0000;;56,2667;;
000101;0000;;53,4545;;
010101;0000;;45,5289;;
020101;0000;;45,3689;;
030101;0000;;45,5833;;
040101;0000;;39,5;;
050101;0000;;41,0661;;
060101;0000;;46,405;;
070101;0000;;46,0513;;
080101;0000;;47,6393;;
090101;0000;;53,4893;;
100101;0000;;46,8277;;
110101;0000;;45,9409;;
120101;0000;;37,258;;
130101;0000;;40,1104;;
140101;0000;;37,5819;;
150101;0000;;37,6338;;
160101;0000;;47,3018;;
170101;0000;;;39,4313;
180101;0000;;;42,0178;
