FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;30,4055;;
940101;0000;;24,8352;;
950101;0000;;41,6504;;
960101;0000;;37,089;;
970101;0000;;15,7552;;
980101;0000;;7,61023;;
990101;0000;;9,22846;;
000101;0000;;9,25741;;
010101;0000;;10,3735;;
020101;0000;;6,08867;;
030101;0000;;6,28103;;
040101;0000;;5,90172;;
050101;0000;;6,60618;;
060101;0000;;10,5765;;
070101;0000;;10,4166;;
080101;0000;;12,8287;;
090101;0000;;12,8559;;
100101;0000;;2,89918;;
110101;0000;;4,36001;;
120101;0000;;6,10439;;
130101;0000;;8,68756;;
140101;0000;;10,8537;;
150101;0000;;5,31834;;
160101;0000;;5,38519;;
170101;0000;;;6,38169;
180101;0000;;;7,11781;
