FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
950101;0000;;64,322;;
960101;0000;;47,4576;;
970101;0000;;43,6496;;
980101;0000;;48,6387;;
990101;0000;;40,55;;
000101;0000;;35,9008;;
010101;0000;;31,4;;
020101;0000;;34,9174;;
030101;0000;;33,2203;;
040101;0000;;28,9262;;
050101;0000;;32,2773;;
060101;0000;;38,3636;;
070101;0000;;35,3525;;
080101;0000;;36,4672;;
090101;0000;;37,7039;;
100101;0000;;34,079;;
110101;0000;;34,8005;;
120101;0000;;29,2683;;
130101;0000;;27,937;;
140101;0000;;25,9409;;
150101;0000;;26,0117;;
160101;0000;;26,3283;;
170101;0000;;;26,5306;
180101;0000;;;28,8821;
