FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
940101;0000;;61,1641;;
950101;0000;;79,7225;;
960101;0000;;83,6384;;
970101;0000;;48,7021;;
980101;0000;;31,8579;;
990101;0000;;19,7636;;
000101;0000;;24,8143;;
010101;0000;;26,5265;;
020101;0000;;18,1503;;
030101;0000;;11,7834;;
040101;0000;;12,729;;
050101;0000;;13,743;;
060101;0000;;19,1069;;
070101;0000;;20,8939;;
080101;0000;;23,2478;;
090101;0000;;20,8817;;
100101;0000;;16,0441;;
110101;0000;;13,8614;;
120101;0000;;11,7494;;
130101;0000;;12,7613;;
140101;0000;;11,6837;;
150101;0000;;10,7927;;
160101;0000;;10,7964;;
170101;0000;;;10,9393;
180101;0000;;;12,1213;
