FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000601;0000;;0,189401;;
000701;0000;;0,205251;;
000801;0000;;0,155083;;
000901;0000;;0,0917906;;
001001;0000;;0,0605418;;
001101;0000;;0,0588973;;
001201;0000;;0,132025;;
010101;0000;;0,162273;;
010201;0000;;0,503924;;
010301;0000;;0,852891;;
010401;0000;;1,35366;;
010501;0000;;0,42039;;
010601;0000;;0,441556;;
010701;0000;;0,297654;;
010801;0000;;0,295467;;
010901;0000;;0,0833981;;
011001;0000;;0,269804;;
011101;0000;;0,18042;;
011201;0000;;0,0979873;;
020101;0000;;0,142133;;
020201;0000;;0,235108;;
020301;0000;;0,386284;;
020401;0000;;0,413486;;
020501;0000;;0,603165;;
020601;0000;;0,0686561;;
020701;0000;;0,0726117;;
020801;0000;;0,0214478;;
020901;0000;;0,0138447;;
021001;0000;;0,0139489;;
021101;0000;;0,0531494;;
021201;0000;;0,0614282;;
030101;0000;;0,0502738;;
030201;0000;;0,00749928;;
030301;0000;;0,00968689;;
030401;0000;;0,0124988;;
030501;0000;;0,00994065;;
030601;0000;;0,00997193;;
030701;0000;;0,0608656;;
030801;0000;;0,0535097;;
030901;0000;;;;
031001;0000;;0,0796666;;
031101;0000;;0,0482529;;
031201;0000;;0,0945786;;
040101;0000;;0,0824757;;
040201;0000;;0,119899;;
040301;0000;;0,0954258;;
040401;0000;;0,108391;;
040501;0000;;0,127892;;
040601;0000;;0,0955974;;
040701;0000;;0,0879963;;
040801;0000;;0,0739495;;
040901;0000;;0,0485795;;
041001;0000;;0,0673014;;
041101;0000;;0,0728365;;
041201;0000;;0,0768912;;
050101;0000;;0,0781129;;
050201;0000;;;;
050301;0000;;0,0666676;;
050401;0000;;;;
050501;0000;;;;
050601;0000;;;;
050701;0000;;;;
050801;0000;;;;
050901;0000;;0,098693;;
051001;0000;;0,0566145;;
051101;0000;;0,046123;;
051201;0000;;0,0518713;;
060101;0000;;0,101784;;
060201;0000;;0,125473;;
060301;0000;;0,123261;;
060401;0000;;;;
060501;0000;;0,105374;;
060601;0000;;0,0979795;;
060701;0000;;0,102833;;
060801;0000;;0,0949271;;
060901;0000;;0,126704;;
061001;0000;;;;
061101;0000;;0,140786;;
061201;0000;;0,165096;;
070101;0000;;;;
070201;0000;;;;
070301;0000;;;;
070401;0000;;;;
070501;0000;;;;
070601;0000;;0,250231;;
070701;0000;;0,259744;;
070801;0000;;0,292436;;
070901;0000;;0,190909;;
071001;0000;;0,19049;;
071101;0000;;0,210224;;
071201;0000;;0,225072;;
080101;0000;;;;
080201;0000;;;;
080301;0000;;;;
080401;0000;;;;
080501;0000;;;;
080601;0000;;;;
080701;0000;;;;
080801;0000;;;;
080901;0000;;;;
081001;0000;;;;
081101;0000;;;;
081201;0000;;;;
090101;0000;;;;
090201;0000;;;;
090301;0000;;;;
090401;0000;;;;
090501;0000;;;;
090601;0000;;;;
090701;0000;;;;
090801;0000;;;;
090901;0000;;;;
091001;0000;;;;
091101;0000;;;;
091201;0000;;;;
100101;0000;;;;
100201;0000;;;;
100301;0000;;;;
100401;0000;;;;
100501;0000;;;;
100601;0000;;;;
100701;0000;;;;
100801;0000;;;;
100901;0000;;;;
101001;0000;;;;
101101;0000;;;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;;;
120901;0000;;;;
121001;0000;;;;
121101;0000;;;;
121201;0000;;;;
130101;0000;;;157,267;
130201;0000;;;135,499;
130301;0000;;;120,552;
130401;0000;;;135,96;
130501;0000;;;271,563;
130601;0000;;;274,339;
130701;0000;;;21,562;
130801;0000;;;10,4967;
130901;0000;;;48,7679;
131001;0000;;;81,2276;
131101;0000;;;72,2762;
131201;0000;;;16,1475;
140101;0000;;;15,9103;
140201;0000;;;8,59256;
140301;0000;;;4,70405;
140401;0000;;;12,722;
140501;0000;;;18,8598;
140601;0000;;;15,1096;
140701;0000;;;14,2165;
