FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000601;0000;;2,05011;;
000701;0000;;2,35792;;
000801;0000;;2,25135;;
000901;0000;;2,09501;;
001001;0000;;2,07055;;
001101;0000;;2,03019;;
001201;0000;;2,0277;;
010101;0000;;2,05178;;
010201;0000;;1,8974;;
010301;0000;;2,06481;;
010401;0000;;2,354;;
010501;0000;;1,93853;;
010601;0000;;1,98948;;
010701;0000;;2,03773;;
010801;0000;;2,07297;;
010901;0000;;2,0801;;
011001;0000;;2,02224;;
011101;0000;;1,96959;;
011201;0000;;2,02919;;
020101;0000;;2,04223;;
020201;0000;;2,06617;;
020301;0000;;2,10931;;
020401;0000;;2,10471;;
020501;0000;;2,08066;;
020601;0000;;0,132205;;
020701;0000;;0,146487;;
020801;0000;;0,0467583;;
020901;0000;;0,0278742;;
021001;0000;;0,0277661;;
021101;0000;;0,105861;;
021201;0000;;0,122904;;
030101;0000;;0,099603;;
030201;0000;;0,0150079;;
030301;0000;;0,019631;;
030401;0000;;0,0916514;;
030501;0000;;0,0764816;;
030601;0000;;0,0518099;;
030701;0000;;;;
030801;0000;;;;
030901;0000;;;;
031001;0000;;;;
031101;0000;;;;
031201;0000;;;;
040101;0000;;;;
040201;0000;;;;
040301;0000;;;;
040401;0000;;;;
040501;0000;;;;
040601;0000;;;;
040701;0000;;;;
040801;0000;;;;
040901;0000;;;;
041001;0000;;;;
041101;0000;;;;
041201;0000;;;;
050101;0000;;;;
050201;0000;;;;
050301;0000;;;;
050401;0000;;;;
050501;0000;;;;
050601;0000;;;;
050701;0000;;;;
050801;0000;;;;
050901;0000;;;;
051001;0000;;;;
051101;0000;;;;
051201;0000;;;;
060101;0000;;;;
060201;0000;;;;
060301;0000;;;;
060401;0000;;;;
060501;0000;;;;
060601;0000;;;;
060701;0000;;;;
060801;0000;;;;
060901;0000;;;;
061001;0000;;;;
061101;0000;;;;
061201;0000;;;;
070101;0000;;;;
070201;0000;;;;
070301;0000;;;;
070401;0000;;;;
070501;0000;;;;
070601;0000;;;;
070701;0000;;;;
070801;0000;;;;
070901;0000;;;;
071001;0000;;;;
071101;0000;;;;
071201;0000;;;;
080101;0000;;;;
080201;0000;;;;
080301;0000;;;;
080401;0000;;;;
080501;0000;;;;
080601;0000;;;;
080701;0000;;;;
080801;0000;;;;
080901;0000;;;;
081001;0000;;;;
081101;0000;;;;
081201;0000;;;;
090101;0000;;;;
090201;0000;;;;
090301;0000;;;;
090401;0000;;;;
090501;0000;;;;
090601;0000;;;;
090701;0000;;;;
090801;0000;;;;
090901;0000;;;;
091001;0000;;;;
091101;0000;;;;
091201;0000;;;;
100101;0000;;;;
100201;0000;;;;
100301;0000;;;;
100401;0000;;;;
100501;0000;;;;
100601;0000;;;;
100701;0000;;;;
100801;0000;;;;
100901;0000;;;;
101001;0000;;;;
101101;0000;;;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;;;
120901;0000;;;;
121001;0000;;;;
121101;0000;;;;
121201;0000;;;;
130101;0000;;;;
130201;0000;;;;
130301;0000;;;;
130401;0000;;;;
130501;0000;;;;
130601;0000;;;;
130701;0000;;;;
130801;0000;;;;
130901;0000;;;;
131001;0000;;;;
131101;0000;;;;
131201;0000;;;;
140101;0000;;;;
140201;0000;;;;
140301;0000;;;;
140401;0000;;;;
140501;0000;;;;
140601;0000;;;;
140701;0000;;;;
140801;0000;;;6,98862;
140901;0000;;;42,658;
141001;0000;;;95,5532;
141101;0000;;;79,1632;
141201;0000;;;92,4665;
150101;0000;;;79,7721;
150201;0000;;;59,0662;
150301;0000;;;63,7309;
150401;0000;;;62,762;
150501;0000;;;134,509;
150601;0000;;;111,03;
150701;0000;;;107,852;
150801;0000;;;105,234;
150901;0000;;;63,9782;
151001;0000;;;45,1211;
151101;0000;;;44,0895;
151201;0000;;;43,1641;
160101;0000;;;48,0575;
160201;0000;;;49,4796;
160301;0000;;;56,1038;
160401;0000;;;59,8684;
160501;0000;;;56,6011;
160601;0000;;;48,2722;
160701;0000;;;47,1921;
160801;0000;;;38,0319;
160901;0000;;;40,3074;
161001;0000;;;44,179;
161101;0000;;;37,7321;
161201;0000;;;46,7131;
170101;0000;;;56,7253;
170201;0000;;;54,8482;
170301;0000;;;;
