FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000601;0000;;7,79991;;
000701;0000;;25,3519;;
000801;0000;;20,2051;;
000901;0000;;6,85088;;
001001;0000;;5,73475;;
001101;0000;;4,86786;;
001201;0000;;5,094;;
010101;0000;;4,755;;
010201;0000;;10,5795;;
010301;0000;;11,3838;;
010401;0000;;7,87814;;
010501;0000;;7,15799;;
010601;0000;;5,63227;;
010701;0000;;4,91279;;
010801;0000;;3,78162;;
010901;0000;;3,79032;;
011001;0000;;4,50774;;
011101;0000;;6,84082;;
011201;0000;;4,75685;;
020101;0000;;5,50273;;
020201;0000;;7,42644;;
020301;0000;;7,64488;;
020401;0000;;8,446;;
020501;0000;;6,86157;;
020601;0000;;7,3586;;
020701;0000;;3,28075;;
020801;0000;;6,21569;;
020901;0000;;1,59426;;
021001;0000;;1,80481;;
021101;0000;;1,75066;;
021201;0000;;2,55679;;
030101;0000;;6,51685;;
030201;0000;;3,3323;;
030301;0000;;23,1157;;
030401;0000;;24,2248;;
030501;0000;;8,8605;;
030601;0000;;5,87153;;
030701;0000;;7,34468;;
030801;0000;;7,27514;;
030901;0000;;7,10105;;
031001;0000;;5,00567;;
031101;0000;;7,04544;;
031201;0000;;8,5718;;
040101;0000;;7,62884;;
040201;0000;;7,43474;;
040301;0000;;7,3968;;
040401;0000;;7,4202;;
040501;0000;;8,23797;;
040601;0000;;10,8728;;
040701;0000;;8,29283;;
040801;0000;;;;
040901;0000;;5,72649;;
041001;0000;;5,42674;;
041101;0000;;3,31206;;
041201;0000;;4,07889;;
050101;0000;;5,6218;;
050201;0000;;6,90939;;
050301;0000;;5,35578;;
050401;0000;;5,64174;;
050501;0000;;;;
050601;0000;;6,67721;;
050701;0000;;4,71523;;
050801;0000;;3,85446;;
050901;0000;;3,50372;;
051001;0000;;3,76682;;
051101;0000;;5,21491;;
051201;0000;;3,91645;;
060101;0000;;4,92369;;
060201;0000;;6,76656;;
060301;0000;;5,99883;;
060401;0000;;;;
060501;0000;;9,08331;;
060601;0000;;7,53215;;
060701;0000;;6,14267;;
060801;0000;;;;
060901;0000;;6,1624;;
061001;0000;;6,07382;;
061101;0000;;6,46615;;
061201;0000;;7,43689;;
070101;0000;;6,21916;;
070201;0000;;8,81804;;
070301;0000;;6,61544;;
070401;0000;;4,83493;;
070501;0000;;5,40873;;
070601;0000;;4,97509;;
070701;0000;;5,52863;;
070801;0000;;5,23765;;
070901;0000;;5,99529;;
071001;0000;;4,91443;;
071101;0000;;4,40402;;
071201;0000;;5,83695;;
080101;0000;;;;
080201;0000;;;;
080301;0000;;;;
080401;0000;;;;
080501;0000;;;;
080601;0000;;;;
080701;0000;;;;
080801;0000;;;;
080901;0000;;;;
081001;0000;;;;
081101;0000;;;;
081201;0000;;;;
090101;0000;;;;
090201;0000;;;;
090301;0000;;;;
090401;0000;;;;
090501;0000;;;;
090601;0000;;;;
090701;0000;;;;
090801;0000;;;;
090901;0000;;;;
091001;0000;;;;
091101;0000;;;;
091201;0000;;;;
100101;0000;;;;
100201;0000;;;;
100301;0000;;;;
100401;0000;;;;
100501;0000;;;;
100601;0000;;;;
100701;0000;;;;
100801;0000;;;;
100901;0000;;;;
101001;0000;;;;
101101;0000;;;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;;;
120901;0000;;;;
121001;0000;;;;
121101;0000;;;;
121201;0000;;;;
130101;0000;;;9,93845;
130201;0000;;;14,3019;
130301;0000;;;7,81726;
130401;0000;;;;
130501;0000;;;7,99068;
130601;0000;;;8,05854;
130701;0000;;;8,17775;
130801;0000;;;7,39012;
130901;0000;;;7,51943;
131001;0000;;;6,37284;
131101;0000;;;9,09591;
131201;0000;;;8,98253;
140101;0000;;;13,4957;
140201;0000;;;7,41091;
140301;0000;;;11,3537;
140401;0000;;;20,3765;
140501;0000;;;35,3357;
140601;0000;;;10,5951;
140701;0000;;;10,5749;
140801;0000;;;11,9282;
140901;0000;;;13,8726;
141001;0000;;;30,4653;
141101;0000;;;22,8275;
141201;0000;;;16,9332;
150101;0000;;;8,74238;
150201;0000;;;10,5126;
150301;0000;;;12,0945;
150401;0000;;;7,3392;
150501;0000;;;11,8922;
150601;0000;;;16,2913;
150701;0000;;;16,727;
150801;0000;;;14,0882;
150901;0000;;;11,1638;
151001;0000;;;12,7399;
151101;0000;;;6,80174;
151201;0000;;;19,6553;
160101;0000;;;18,8569;
160201;0000;;;15,116;
160301;0000;;;6,6802;
160401;0000;;;9,87999;
160501;0000;;;15,6319;
160601;0000;;;13,9884;
160701;0000;;;13,819;
160801;0000;;;15,9049;
160901;0000;;;8,73134;
161001;0000;;;13,1403;
161101;0000;;;16,664;
161201;0000;;;15,5304;
170101;0000;;;7,83997;
170201;0000;;;31,2873;
170301;0000;;;;
