FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000601;0000;;5,56354;;
000701;0000;;10,0298;;
000801;0000;;6,31704;;
000901;0000;;8,81096;;
001001;0000;;6,27996;;
001101;0000;;4,42184;;
001201;0000;;4,239;;
010101;0000;;4,29268;;
010201;0000;;6,28182;;
010301;0000;;6,80439;;
010401;0000;;7,28996;;
010501;0000;;7,5872;;
010601;0000;;7,65944;;
010701;0000;;6,30974;;
010801;0000;;5,12262;;
010901;0000;;4,84536;;
011001;0000;;4,99496;;
011101;0000;;5,76239;;
011201;0000;;5,09792;;
020101;0000;;4,9669;;
020201;0000;;5,90247;;
020301;0000;;7,30842;;
020401;0000;;8,82897;;
020501;0000;;6,56365;;
020601;0000;;5,32486;;
020701;0000;;9,73914;;
020801;0000;;3,16851;;
020901;0000;;4,97681;;
021001;0000;;3,19519;;
021101;0000;;2,42839;;
021201;0000;;4,62841;;
030101;0000;;4,60816;;
030201;0000;;32,603;;
030301;0000;;2,47974;;
030401;0000;;8,23989;;
030501;0000;;11,7803;;
030601;0000;;8,98239;;
030701;0000;;8,74349;;
030801;0000;;9,02645;;
030901;0000;;4,8504;;
031001;0000;;6,89746;;
031101;0000;;6,89375;;
031201;0000;;5,65225;;
040101;0000;;6,28905;;
040201;0000;;5,1916;;
040301;0000;;7,72684;;
040401;0000;;8,98059;;
040501;0000;;9,28115;;
040601;0000;;10,7481;;
040701;0000;;8,63863;;
040801;0000;;;;
040901;0000;;4,85098;;
041001;0000;;5,4026;;
041101;0000;;3,72312;;
041201;0000;;4,39624;;
050101;0000;;5,40403;;
050201;0000;;7,24946;;
050301;0000;;6,38103;;
050401;0000;;6,08827;;
050501;0000;;;;
050601;0000;;5,03754;;
050701;0000;;4,88452;;
050801;0000;;4,15465;;
050901;0000;;2,8665;;
051001;0000;;2,84788;;
051101;0000;;3,20008;;
051201;0000;;2,37845;;
060101;0000;;2,72468;;
060201;0000;;3,21808;;
060301;0000;;3,86313;;
060401;0000;;;;
060501;0000;;8,12885;;
060601;0000;;6,80612;;
060701;0000;;4,78022;;
060801;0000;;;;
060901;0000;;4,16238;;
061001;0000;;4,15964;;
061101;0000;;5,21988;;
061201;0000;;4,19046;;
070101;0000;;3,662;;
070201;0000;;5,92737;;
070301;0000;;6,02795;;
070401;0000;;4,89874;;
070501;0000;;5,0635;;
070601;0000;;3,91643;;
070701;0000;;5,05737;;
070801;0000;;4,90706;;
070901;0000;;5,02525;;
071001;0000;;3,76883;;
071101;0000;;3,43833;;
071201;0000;;3,46353;;
080101;0000;;4,42463;;
080201;0000;;5,62118;;
080301;0000;;4,36032;;
080401;0000;;4,87272;;
080501;0000;;3,56092;;
080601;0000;;5,9258;;
080701;0000;;5,52227;;
080801;0000;;5,8855;;
080901;0000;;5,49691;;
081001;0000;;5,36169;;
081101;0000;;4,95807;;
081201;0000;;6,48663;;
090101;0000;;;;
090201;0000;;;;
090301;0000;;;;
090401;0000;;;;
090501;0000;;;;
090601;0000;;;;
090701;0000;;;;
090801;0000;;;;
090901;0000;;;;
091001;0000;;;;
091101;0000;;;;
091201;0000;;;;
100101;0000;;;;
100201;0000;;;;
100301;0000;;;;
100401;0000;;;;
100501;0000;;;;
100601;0000;;;;
100701;0000;;;;
100801;0000;;;;
100901;0000;;;;
101001;0000;;;;
101101;0000;;;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;;;
120901;0000;;;;
121001;0000;;;;
121101;0000;;;;
121201;0000;;;;
130101;0000;;;8,62741;
130201;0000;;;1,70426;
130301;0000;;;;
130401;0000;;;5,68455;
130501;0000;;;;
130601;0000;;;6,06476;
130701;0000;;;5,62859;
130801;0000;;;5,61965;
130901;0000;;;2,24444;
131001;0000;;;3,08313;
131101;0000;;;2,43969;
131201;0000;;;4,24498;
140101;0000;;;6,74798;
140201;0000;;;2,97604;
140301;0000;;;6,91694;
140401;0000;;;9,21615;
140501;0000;;;6,96341;
140601;0000;;;7,45158;
140701;0000;;;6,74964;
140801;0000;;;1,94945;
140901;0000;;;7,99562;
141001;0000;;;6,56538;
141101;0000;;;6,13441;
141201;0000;;;7,43458;
150101;0000;;;6,63935;
150201;0000;;;7,82579;
150301;0000;;;9,68167;
150401;0000;;;9,26996;
150501;0000;;;8,52192;
150601;0000;;;12,3308;
150701;0000;;;12,6189;
150801;0000;;;10,9328;
150901;0000;;;8,00486;
151001;0000;;;7,80079;
151101;0000;;;8,28993;
151201;0000;;;7,40658;
160101;0000;;;7,04824;
160201;0000;;;7,22814;
160301;0000;;;7,59477;
160401;0000;;;8,1888;
160501;0000;;;10,9012;
160601;0000;;;11,1602;
160701;0000;;;10,486;
160801;0000;;;9,51822;
160901;0000;;;8,08562;
161001;0000;;;8,82283;
161101;0000;;;8,30057;
161201;0000;;;7,5162;
170101;0000;;;3,09685;
170201;0000;;;1,16947;
170301;0000;;;;
