FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000601;0000;;8,97975;;
000701;0000;;10,2023;;
000801;0000;;10,8712;;
000901;0000;;14,2052;;
001001;0000;;14,5073;;
001101;0000;;12,1452;;
001201;0000;;11,2269;;
010101;0000;;8,75364;;
010201;0000;;9,59787;;
010301;0000;;10,6079;;
010401;0000;;9,60899;;
010501;0000;;9,24207;;
010601;0000;;10,5263;;
010701;0000;;9,62152;;
010801;0000;;13,6406;;
010901;0000;;17,2015;;
011001;0000;;16,3873;;
011101;0000;;13,3795;;
011201;0000;;20,3429;;
020101;0000;;17,5324;;
020201;0000;;20,2255;;
020301;0000;;17,765;;
020401;0000;;9,06581;;
020501;0000;;7,61879;;
020601;0000;;18,8716;;
020701;0000;;19,9545;;
020801;0000;;12,9229;;
020901;0000;;18,1529;;
021001;0000;;17,7147;;
021101;0000;;7,76521;;
021201;0000;;13,4781;;
030101;0000;;2,37778;;
030201;0000;;2,38796;;
030301;0000;;3,89523;;
030401;0000;;8,66297;;
030501;0000;;9,7158;;
030601;0000;;9,62444;;
030701;0000;;15,5134;;
030801;0000;;16,5422;;
030901;0000;;17,4102;;
031001;0000;;16,72;;
031101;0000;;15,8756;;
031201;0000;;11,8461;;
040101;0000;;11,8066;;
040201;0000;;12,8557;;
040301;0000;;11,2655;;
040401;0000;;10,2071;;
040501;0000;;10,6931;;
040601;0000;;8,03623;;
040701;0000;;8,79699;;
040801;0000;;11,2974;;
040901;0000;;11,9732;;
041001;0000;;13,0475;;
041101;0000;;12,9106;;
041201;0000;;12,7576;;
050101;0000;;14,2914;;
050201;0000;;14,2671;;
050301;0000;;12,6803;;
050401;0000;;11,4591;;
050501;0000;;;;
050601;0000;;6,83622;;
050701;0000;;8,18116;;
050801;0000;;12,4284;;
050901;0000;;13,6986;;
051001;0000;;14,3099;;
051101;0000;;13,2316;;
051201;0000;;16,4191;;
060101;0000;;;;
060201;0000;;14,671;;
060301;0000;;16,8507;;
060401;0000;;15,8445;;
060501;0000;;14,5672;;
060601;0000;;;;
060701;0000;;;;
060801;0000;;13,9429;;
060901;0000;;12,2516;;
061001;0000;;12,7913;;
061101;0000;;13,402;;
061201;0000;;10,1329;;
070101;0000;;10,5408;;
070201;0000;;9,71913;;
070301;0000;;9,21574;;
070401;0000;;7,56055;;
070501;0000;;7,17432;;
070601;0000;;7,24583;;
070701;0000;;7,40084;;
070801;0000;;;;
070901;0000;;8,32598;;
071001;0000;;8,51863;;
071101;0000;;7,93253;;
071201;0000;;9,76116;;
080101;0000;;9,01393;;
080201;0000;;8,39333;;
080301;0000;;8,19656;;
080401;0000;;10,7388;;
080501;0000;;;;
080601;0000;;9,24036;;
080701;0000;;;;
080801;0000;;10,8909;;
080901;0000;;10,9414;;
081001;0000;;12,7704;;
081101;0000;;;;
081201;0000;;11,439;;
090101;0000;;;;
090201;0000;;;;
090301;0000;;;;
090401;0000;;;;
090501;0000;;;;
090601;0000;;;;
090701;0000;;;;
090801;0000;;;;
090901;0000;;;;
091001;0000;;;;
091101;0000;;;;
091201;0000;;;;
100101;0000;;;;
100201;0000;;;;
100301;0000;;;;
100401;0000;;;;
100501;0000;;;;
100601;0000;;;;
100701;0000;;;;
100801;0000;;;;
100901;0000;;;;
101001;0000;;;;
101101;0000;;;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;;;
120901;0000;;;;
121001;0000;;;;
121101;0000;;;;
121201;0000;;;;
130101;0000;;;81,671;
130201;0000;;;27,9652;
130301;0000;;;65,1118;
130401;0000;;;100,009;
130501;0000;;;26,6045;
130601;0000;;;11,5178;
130701;0000;;;;
130801;0000;;;;
130901;0000;;;;
131001;0000;;;;
131101;0000;;;;
131201;0000;;;18,9845;
140101;0000;;;12,8327;
140201;0000;;;13,8858;
140301;0000;;;19,546;
140401;0000;;;5,37761;
140501;0000;;;2,05445;
140601;0000;;;2,87363;
140701;0000;;;2,4686;
140801;0000;;;2,52771;
140901;0000;;;4,10897;
141001;0000;;;13,2835;
141101;0000;;;9,71509;
141201;0000;;;10,5804;
150101;0000;;;12,4504;
150201;0000;;;13,0212;
150301;0000;;;10,8034;
150401;0000;;;14,3885;
150501;0000;;;11,7573;
150601;0000;;;10,1193;
150701;0000;;;11,5999;
150801;0000;;;8,94208;
150901;0000;;;12,7068;
151001;0000;;;13,045;
151101;0000;;;8,65493;
151201;0000;;;9,33488;
160101;0000;;;7,59873;
160201;0000;;;9,42965;
160301;0000;;;15,6864;
160401;0000;;;10,1323;
160501;0000;;;6,68521;
160601;0000;;;8,88941;
160701;0000;;;13,5048;
160801;0000;;;11,6158;
160901;0000;;;12,4569;
161001;0000;;;14,176;
161101;0000;;;12,4238;
161201;0000;;;10,9233;
170101;0000;;;10,8154;
170201;0000;;;9,36013;
170301;0000;;;;
