FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0000;;;25,9288;
130201;0000;;;26,1315;
130301;0000;;;25,0506;
130401;0000;;;22,9724;
130501;0000;;;17,0785;
130601;0000;;;21,9231;
130701;0000;;;;
130801;0000;;;;
130901;0000;;;;
131001;0000;;;;
131101;0000;;;;
131201;0000;;;12,3847;
140101;0000;;;13,9891;
140201;0000;;;19,5829;
140301;0000;;;17,2359;
140401;0000;;;21,583;
140501;0000;;;24,4369;
140601;0000;;;11,2627;
140701;0000;;;14,9316;
140801;0000;;;10,837;
140901;0000;;;8,78309;
141001;0000;;;17,9713;
141101;0000;;;25,5225;
141201;0000;;;19,5063;
150101;0000;;;9,87283;
150201;0000;;;10,9051;
150301;0000;;;11,9445;
150401;0000;;;9,60489;
150501;0000;;;15,3129;
150601;0000;;;12,7599;
150701;0000;;;12,2373;
150801;0000;;;11,5188;
150901;0000;;;9,56389;
151001;0000;;;6,48193;
151101;0000;;;13,6453;
151201;0000;;;28,077;
160101;0000;;;24,8679;
160201;0000;;;11,8427;
160301;0000;;;10,8552;
160401;0000;;;11,8918;
160501;0000;;;13,1063;
160601;0000;;;12,8156;
160701;0000;;;14,1287;
160801;0000;;;11,9015;
160901;0000;;;10,5794;
161001;0000;;;8,8908;
161101;0000;;;13,1968;
161201;0000;;;11,6323;
170101;0000;;;11,5572;
170201;0000;;;29,5593;
170301;0000;;;;
