FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930201;0000;;101,818;;
930301;0000;;87,5833;;
930401;0000;;93,1667;;
930501;0000;;94,1538;;
930601;0000;;90,9;;
930701;0000;;82,625;;
930801;0000;;;;
930901;0000;;;;
931001;0000;;;;
931101;0000;;;;
931201;0000;;;;
940101;0000;;64,3636;;
940201;0000;;61,875;;
940301;0000;;62,8889;;
940401;0000;;62,2857;;
940501;0000;;60,1111;;
940601;0000;;64;;
940701;0000;;62,8182;;
940801;0000;;61,875;;
940901;0000;;;;
941001;0000;;;;
941101;0000;;;;
941201;0000;;;;
950101;0000;;52,5556;;
950201;0000;;53,2;;
950301;0000;;53;;
950401;0000;;53,1;;
950501;0000;;53,6667;;
950601;0000;;;;
950701;0000;;54,5556;;
950801;0000;;;;
950901;0000;;;;
951001;0000;;;;
951101;0000;;55,125;;
951201;0000;;54,5556;;
960101;0000;;47,4;;
960201;0000;;46,875;;
960301;0000;;47,0769;;
960401;0000;;47,4615;;
960501;0000;;46,7;;
960601;0000;;;;
960701;0000;;;;
960801;0000;;47,3;;
960901;0000;;47,2222;;
961001;0000;;47;;
961101;0000;;;;
961201;0000;;47;;
970101;0000;;42,625;;
970201;0000;;42,9091;;
970301;0000;;42,9;;
970401;0000;;43,1818;;
970501;0000;;42,3846;;
970601;0000;;;;
970701;0000;;42,125;;
970801;0000;;42,4;;
970901;0000;;;;
971001;0000;;;;
971101;0000;;;;
971201;0000;;43,2;;
980101;0000;;39,1429;;
980201;0000;;38,5;;
980301;0000;;39,1111;;
980401;0000;;39,125;;
980501;0000;;;;
980601;0000;;;;
980701;0000;;39;;
980801;0000;;;;
980901;0000;;;;
981001;0000;;;;
981101;0000;;38,4;;
981201;0000;;39,1538;;
990101;0000;;;;
990201;0000;;35,9091;;
990301;0000;;36;;
990401;0000;;36,3;;
990501;0000;;36,375;;
990601;0000;;35,375;;
990701;0000;;36,25;;
990801;0000;;36,1111;;
990901;0000;;36;;
991001;0000;;36,3333;;
991101;0000;;35,5;;
991201;0000;;35,6667;;
000101;0000;;38,9875;;
000201;0000;;35,7857;;
000301;0000;;37,5;;
000401;0000;;33,3846;;
000501;0000;;35;;
000601;0000;;24,5625;;
000701;0000;;32,4615;;
000801;0000;;29,2;;
000901;0000;;30,5625;;
001001;0000;;27,5;;
001101;0000;;30,875;;
001201;0000;;34,2353;;
010101;0000;;33,9167;;
010201;0000;;34,8462;;
010301;0000;;34,35;;
010401;0000;;29;;
010501;0000;;25,1538;;
010601;0000;;33,8571;;
010701;0000;;25,5714;;
010801;0000;;25,3;;
010901;0000;;24,0667;;
011001;0000;;26,85;;
011101;0000;;28,8333;;
011201;0000;;27,4118;;
020101;0000;;27,6;;
020201;0000;;32,5;;
020301;0000;;30,0588;;
020401;0000;;34,0588;;
020501;0000;;25,4;;
020601;0000;;30,8667;;
020701;0000;;31,9286;;
020801;0000;;26,5625;;
020901;0000;;27,9286;;
021001;0000;;25,6412;;
021101;0000;;27,6937;;
021201;0000;;28,7647;;
030101;0000;;32,1176;;
030201;0000;;31,5294;;
030301;0000;;26,6;;
030401;0000;;35,0625;;
030501;0000;;39,8333;;
030601;0000;;33,725;;
030701;0000;;28,5267;;
030801;0000;;28,8389;;
030901;0000;;24,4692;;
031001;0000;;27,3882;;
031101;0000;;24,1875;;
031201;0000;;32,2047;;
040101;0000;;29,96;;
040201;0000;;29,6692;;
040301;0000;;32,2083;;
040401;0000;;26,68;;
040501;0000;;30,2842;;
040601;0000;;31,28;;
040701;0000;;29,0706;;
040801;0000;;22,4933;;
040901;0000;;22,95;;
041001;0000;;22,3875;;
041101;0000;;23,6588;;
041201;0000;;25,7143;;
050101;0000;;32,3937;;
050201;0000;;29,3909;;
050301;0000;;35,2636;;
