FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090901;0000;;9,91221;;
091001;0000;;6,95833;;
091101;0000;;9,40485;;
091201;0000;;11,5757;;
100101;0000;;6,97138;;
100201;0000;;7,25665;;
100301;0000;;7,3794;;
100401;0000;;12,3062;;
100501;0000;;14,8425;;
100601;0000;;13,9273;;
100701;0000;;13,2735;;
100801;0000;;11,4929;;
100901;0000;;11,622;;
101001;0000;;8,96764;;
101101;0000;;7,51369;;
101201;0000;;9,36821;;
110101;0000;;8,34928;;
110201;0000;;6,49904;7,9642;
110301;0000;;8,36576;;
110401;0000;;18,5567;;
110501;0000;;12,8233;;
110601;0000;;16,3205;;
110701;0000;;14,203;16,7158;
110801;0000;;14,5347;;
110901;0000;;10,2795;12,7035;
111001;0000;;9,60717;;
111101;0000;;7,0774;;
111201;0000;;6,83943;7,12654;
120101;0000;;7,25157;10,9946;
120201;0000;;10,3932;11,6704;
120301;0000;;6,83212;7,79225;
120401;0000;;9,14559;11,117;
120501;0000;;13,1412;14,0864;
120601;0000;;14,3985;;
120701;0000;;18,6732;23,0844;
120801;0000;;9,28445;11,1474;
120901;0000;;9,57712;;
121001;0000;;8,63813;;
121101;0000;;6,38972;;
121201;0000;;7,96652;;
130101;0000;;5,46916;;
130201;0000;;12,5157;;
130301;0000;;10,5443;;
130401;0000;;11,8553;;
130501;0000;;17,2846;;
130601;0000;;14,4277;;
130701;0000;;15,3393;;
130801;0000;;13,9494;;
130901;0000;;11,1947;;
131001;0000;;8,87071;;
131101;0000;;7,9701;;
131201;0000;;7,1171;;
140101;0000;;10,157;;
140201;0000;;11,8592;;
140301;0000;;9,38014;;
140401;0000;;15,0098;;
140501;0000;;21,0719;;
140601;0000;;14,6598;;
140701;0000;;14,2697;;
140801;0000;;11,7284;;
140901;0000;;8,84079;;
141001;0000;;8,70188;;
141101;0000;;10,3383;;
141201;0000;;8,18769;;
150101;0000;;6,26284;;
150201;0000;;6,40735;7,34798;
150301;0000;;8,85417;;
150401;0000;;8,61622;;
150501;0000;;16,373;14,4636;
150601;0000;;18,9901;20,7431;
150701;0000;;17,5311;;
150801;0000;;12,7159;;
150901;0000;;8,8743;;
151001;0000;;7,46266;;
151101;0000;;6,07781;4,66729;
151201;0000;;6,95978;7,01368;
160101;0000;;8,99418;;
160201;0000;;10,6507;9,08362;
160301;0000;;5,64465;;
160401;0000;;9,33048;;
160501;0000;;14,9036;;
160601;0000;;15,659;;
160701;0000;;17,1303;;
160801;0000;;14,845;;
160901;0000;;8,17427;;
161001;0000;;8,83741;;
161101;0000;;7,87493;5,79189;
161201;0000;;;8,54364;
170101;0000;;;8,08999;
170201;0000;;;9,77766;
170301;0000;;;8,83678;
170401;0000;;;13,2332;
170501;0000;;;13,0242;
170601;0000;;;13,231;
170701;0000;;;13,6921;
170801;0000;;;9,37489;
170901;0000;;;8,99799;
171001;0000;;;7,44693;
171101;0000;;;6,22719;
171201;0000;;;6,7411;
180101;0000;;;7,70875;
180201;0000;;;8,52277;
180301;0000;;;11,0688;
180401;0000;;;13,3928;
180501;0000;;;15,8698;
180601;0000;;;19,1048;
180701;0000;;;12,4278;
180801;0000;;;10,4745;
180901;0000;;;11,388;
181001;0000;;;6,54413;
