FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090901;0000;;9,23749;;
091001;0000;;7,8379;;
091101;0000;;8,31165;;
091201;0000;;7,62234;;
100101;0000;;6,60277;;
100201;0000;;6,85944;;
100301;0000;;7,10182;;
100401;0000;;8,82161;;
100501;0000;;10,8365;;
100601;0000;;8,9846;;
100701;0000;;9,1439;;
100801;0000;;8,84919;;
100901;0000;;10,4758;;
101001;0000;;9,34113;;
101101;0000;;8,5509;;
101201;0000;;8,46658;;
110101;0000;;8,01155;;
110201;0000;;7,54225;7,9285;
110301;0000;;8,06082;;
110401;0000;;11,1055;;
110501;0000;;13,4729;;
110601;0000;;10,4856;;
110701;0000;;9,47237;10,2293;
110801;0000;;10,0507;;
110901;0000;;8,84885;9,42894;
111001;0000;;9,24065;;
111101;0000;;7,69885;;
111201;0000;;7,78591;8,04913;
120101;0000;;6,94848;8,95303;
120201;0000;;7,70911;9,36239;
120301;0000;;8,0979;7,27374;
120401;0000;;9,7808;9,7055;
120501;0000;;11,1266;8,1544;
120601;0000;;9,4734;;
120701;0000;;10,8844;11,4827;
120801;0000;;8,70821;10,014;
120901;0000;;9,35493;;
121001;0000;;8,37999;;
121101;0000;;7,63388;;
121201;0000;;8,97715;;
130101;0000;;9,57284;;
130201;0000;;9,3722;;
130301;0000;;10,0901;;
130401;0000;;10,39;;
130501;0000;;10,1943;;
130601;0000;;10,4308;;
130701;0000;;9,8251;;
130801;0000;;9,45204;;
130901;0000;;9,65028;;
131001;0000;;10,5883;;
131101;0000;;8,74507;;
131201;0000;;6,97812;;
140101;0000;;4,97426;;
140201;0000;;5,47478;;
140301;0000;;6,18413;;
140401;0000;;8,42399;;
140501;0000;;7,95498;;
140601;0000;;7,93237;;
140701;0000;;7,63444;;
140801;0000;;6,65883;;
140901;0000;;5,80773;;
141001;0000;;5,98683;;
141101;0000;;6,26421;;
141201;0000;;5,59114;;
150101;0000;;5,64391;;
150201;0000;;5,82067;5,79216;
150301;0000;;6,01223;;
150401;0000;;6,39235;;
150501;0000;;7,61817;8,07505;
150601;0000;;7,43588;8,02869;
150701;0000;;7,39301;;
150801;0000;;6,02707;;
150901;0000;;5,36204;;
151001;0000;;4,9053;;
151101;0000;;4,67941;4,4994;
151201;0000;;4,47218;4,85433;
160101;0000;;4,94074;;
160201;0000;;5,61687;4,35383;
160301;0000;;6,0957;;
160401;0000;;6,39505;;
160501;0000;;7,35235;;
160601;0000;;6,61014;;
160701;0000;;6,2139;;
160801;0000;;5,62365;;
160901;0000;;5,56552;;
161001;0000;;5,39997;;
161101;0000;;5,0711;4,80149;
161201;0000;;;5,11269;
170101;0000;;;5,28425;
170201;0000;;;4,98813;
170301;0000;;;5,36526;
170401;0000;;;6,3597;
170501;0000;;;5,81742;
170601;0000;;;5,85;
170701;0000;;;5,76167;
170801;0000;;;5,27387;
170901;0000;;;5,683;
171001;0000;;;5,52097;
171101;0000;;;5,52536;
171201;0000;;;5,09613;
180101;0000;;;4,85226;
180201;0000;;;5,28769;
180301;0000;;;5,44323;
180401;0000;;;5,746;
180501;0000;;;6,95387;
180601;0000;;;6,951;
180701;0000;;;6,3171;
180801;0000;;;6,14645;
180901;0000;;;5,628;
181001;0000;;;5,28536;
