FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100201;0000;;21,1231;;
100301;0000;;16,1666;;
100401;0000;;11,4788;;
100501;0000;;11,1616;;
100601;0000;;10,7748;;
100701;0000;;8,51871;;
100801;0000;;8,38877;;
100901;0000;;10,0103;;
101001;0000;;12,0577;;
101101;0000;;13,5805;;
101201;0000;;10,097;;
110101;0000;;10,5753;;
110201;0000;;10,7976;12,2135;
110301;0000;;9,24439;;
110401;0000;;9,3765;;
110501;0000;;9,28671;;
110601;0000;;7,67462;;
110701;0000;;9,02357;6,98674;
110801;0000;;8,68669;;
110901;0000;;9,50827;9,28733;
111001;0000;;10,3784;;
111101;0000;;10,7411;;
111201;0000;;9,92856;9,98189;
120101;0000;;9,5813;6,99492;
120201;0000;;9,22059;11,1227;
120301;0000;;21,5393;19,4547;
120401;0000;;18,486;18,4994;
120501;0000;;14,5014;;
120601;0000;;10,1455;;
120701;0000;;9,33257;7,05956;
120801;0000;;11,227;10,3481;
120901;0000;;11,2388;;
121001;0000;;12,0902;;
121101;0000;;13,8869;;
121201;0000;;11,8843;;
130101;0000;;16,515;;
130201;0000;;13,3446;;
130301;0000;;16,4527;;
130401;0000;;14,7133;;
130501;0000;;11,4583;;
130601;0000;;8,34962;;
130701;0000;;5,03529;;
130801;0000;;12,6379;;
130901;0000;;13,613;;
131001;0000;;16,8088;;
131101;0000;;17,2214;;
131201;0000;;21,5917;;
140101;0000;;18,0374;;
140201;0000;;11,3041;;
140301;0000;;17,4933;;
140401;0000;;14,3109;;
140501;0000;;9,37456;6,35697;
140601;0000;;20,0113;;
140701;0000;;17,6175;;
140801;0000;;24,9398;;
140901;0000;;27,1593;;
141001;0000;;27,8574;;
141101;0000;;16,3353;;
141201;0000;;14,8972;;
150101;0000;;18,3888;;
150201;0000;;19,1703;14,9618;
150301;0000;;14,99;;
150401;0000;;18,3082;;
150501;0000;;12,9428;11,2449;
150601;0000;;12,4773;12,0444;
150701;0000;;13,5644;;
150801;0000;;16,3154;;
150901;0000;;9,45793;;
151001;0000;;13,0936;;
151101;0000;;10,163;11,3161;
151201;0000;;8,28283;8,81356;
160101;0000;;6,46295;;
160201;0000;;4,43936;5,60813;
160301;0000;;18,9417;;
160401;0000;;14,8875;;
160501;0000;;9,42811;;
160601;0000;;8,89934;9,28816;
160701;0000;;9,77912;;
160801;0000;;9,75524;;
160901;0000;;15,7205;;
161001;0000;;13,9752;;
161101;0000;;12,9683;14,543;
161201;0000;;;13,3672;
170101;0000;;;18,3882;
170201;0000;;;12,9902;
170301;0000;;;13,683;
170401;0000;;;12,7063;
170501;0000;;;13,9677;
170601;0000;;;10,4333;
170701;0000;;;10,7;
170801;0000;;;12,9677;
170901;0000;;;16,4483;
171001;0000;;;16,3;
171101;0000;;;16,2;
171201;0000;;;15,9032;
180101;0000;;;16,3226;
180201;0000;;;9,52;
180301;0000;;;6,19355;
180401;0000;;;9,56667;
180501;0000;;;10,9032;
180601;0000;;;10,1667;
180701;0000;;;12,871;
180801;0000;;;14,8065;
180901;0000;;;13,4583;
181001;0000;;;13,2143;
