FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;32,711;;
930201;0000;;45,3714;;
930301;0000;;39,7875;;
930401;0000;;39,1795;;
930501;0000;;30,2114;;
930601;0000;;36,3467;;
930701;0000;;34,9127;;
930801;0000;;47,7016;;
930901;0000;;29,2855;;
931001;0000;;46,4202;;
931101;0000;;43,4207;;
931201;0000;;24,4738;;
940101;0000;;40,7235;;
940201;0000;;34,7314;;
940301;0000;;20,6044;;
940401;0000;;47,9341;;
940501;0000;;40,057;;
940601;0000;;56,224;;
940701;0000;;54,1057;;
940801;0000;;51,4161;;
940901;0000;;39,342;;
941001;0000;;43,5826;;
941101;0000;;56,3559;;
941201;0000;;37,9199;;
950101;0000;;50,404;;
950201;0000;;14,9378;;
950301;0000;;46,4771;;
950401;0000;;58,5655;;
950501;0000;;68,9124;;
950601;0000;;73,2646;;
950701;0000;;51,8881;;
950801;0000;;49,3425;;
950901;0000;;42,2006;;
951001;0000;;52,4788;;
951101;0000;;47,4708;;
951201;0000;;46,5523;;
960101;0000;;65,2721;;
960201;0000;;58,7971;;
960301;0000;;58,066;;
960401;0000;;54,723;;
960501;0000;;55,458;;
960601;0000;;52,3635;;
960701;0000;;58,0797;;
960801;0000;;39,621;;
960901;0000;;49,0531;;
961001;0000;;49,9306;;
961101;0000;;53,2051;;
961201;0000;;55,7761;;
970101;0000;;54,4578;;
970201;0000;;44,6067;;
970301;0000;;49,6208;;
970401;0000;;37,6762;;
970501;0000;;25,2283;;
970601;0000;;21,3039;;
970701;0000;;35,347;;
970801;0000;;42,3826;;
970901;0000;;34,5054;;
971001;0000;;37,4775;;
971101;0000;;38,8358;;
971201;0000;;27,2022;;
980101;0000;;18,3829;;
980201;0000;;14,228;;
980301;0000;;17,238;;
980401;0000;;16,84;;
980501;0000;;26,5899;;
980601;0000;;25,5763;;
980701;0000;;25,6147;;
980801;0000;;22,07;;
980901;0000;;26,6399;;
981001;0000;;23,9511;;
981101;0000;;11,0065;;
981201;0000;;9,40946;;
990101;0000;;10,0101;;
990201;0000;;8,90998;;
990301;0000;;17,6792;;
990401;0000;;14,6564;;
990501;0000;;11,2898;;
990601;0000;;20,4236;;
990701;0000;;24,6143;;
990801;0000;;14,3638;;
990901;0000;;8,06465;;
991001;0000;;8,43718;;
991101;0000;;8,95112;;
