FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;60,2;;
930201;0000;;69,7143;;
930301;0000;;55,9;;
930401;0000;;68,4;;
930501;0000;;54,6;;
930601;0000;;60,1;;
930701;0000;;71,4;;
930801;0000;;66,7273;;
930901;0000;;51,2;;
931001;0000;;59,3;;
931101;0000;;69,2222;;
931201;0000;;55,5;;
940101;0000;;65,1818;;
940201;0000;;91,8889;;
940301;0000;;79,8;;
940401;0000;;71,8889;;
940501;0000;;61,5;;
940601;0000;;69,7;;
940701;0000;;51,1;;
940801;0000;;63,2;;
940901;0000;;54,4444;;
941001;0000;;69,9091;;
941101;0000;;70,2;;
941201;0000;;80;;
950101;0000;;81,7;;
950201;0000;;75,3;;
950301;0000;;85,5;;
950401;0000;;54,2;;
950501;0000;;94,4;;
950601;0000;;58;;
950701;0000;;39,4545;;
950801;0000;;47,1;;
950901;0000;;49,1111;;
951001;0000;;69,1;;
951101;0000;;49,7;;
951201;0000;;68,0909;;
960101;0000;;68,1;;
960201;0000;;53,9;;
960301;0000;;56,4444;;
960401;0000;;62,3333;;
960501;0000;;65,4444;;
960601;0000;;57,8;;
960701;0000;;50,7273;;
960801;0000;;41,2;;
960901;0000;;65,1;;
961001;0000;;72,3;;
961101;0000;;73,1;;
961201;0000;;;;
970101;0000;;114,214;;
970201;0000;;70,6;;
970301;0000;;66,6364;;
970401;0000;;103;;
970501;0000;;68,1;;
970601;0000;;43,7;;
970701;0000;;48;;
970801;0000;;63,4545;;
970901;0000;;39;;
971001;0000;;48,4;;
971101;0000;;81,5;;
971201;0000;;68,9;;
980101;0000;;119,4;;
980201;0000;;70;;
980301;0000;;100,3;;
980401;0000;;82,5;;
980501;0000;;93,2;;
980601;0000;;57,9;;
980701;0000;;69,9;;
980801;0000;;56,6;;
980901;0000;;49,7;;
981001;0000;;55,2727;;
981101;0000;;74,7;;
981201;0000;;70,8;;
990101;0000;;100,8;;
990201;0000;;65;;
990301;0000;;73,5;;
990401;0000;;60,5;;
990501;0000;;47,3;;
990601;0000;;41,6;;
990701;0000;;45,3636;;
990801;0000;;37,8;;
990901;0000;;37,3;;
991001;0000;;52,1;;
991101;0000;;46,8;;
991201;0000;;69,1;;
000101;0000;;73,1;;
000201;0000;;77,9;;
000301;0000;;69,9;;
000401;0000;;50,7;;
000501;0000;;51,7;;
000601;0000;;30;;
000701;0000;;47,5455;;
000801;0000;;42,9;;
000901;0000;;51;;
001001;0000;;38,8889;;
001101;0000;;57,6;;
001201;0000;;49,7273;;
010101;0000;;69,2222;;
010201;0000;;65;;
010301;0000;;49;;
010401;0000;;37,2;;
010501;0000;;36,3;;
010601;0000;;56,3;;
010701;0000;;35,3;;
010801;0000;;37,3636;;
010901;0000;;34,4;;
011001;0000;;39,3;;
011101;0000;;49,2;;
011201;0000;;42,2;;
020101;0000;;55,1818;;
020201;0000;;58,5556;;
020301;0000;;53;;
020401;0000;;56,8;;
020501;0000;;29,4545;;
020601;0000;;42,3;;
020701;0000;;38,6;;
020801;0000;;29,6;;
020901;0000;;43,8;;
021001;0000;;45,5455;;
021101;0000;;43,7;;
021201;0000;;49,8;;
030101;0000;;49,5;;
030201;0000;;44,6;;
030301;0000;;37,1;;
030401;0000;;56,2;;
030501;0000;;53,9;;
030601;0000;;35;;
030701;0000;;40;;
030801;0000;;45,8;;
030901;0000;;48,6;;
031001;0000;;45,3;;
031101;0000;;41,1;;
031201;0000;;48,5455;;
040101;0000;;42,3;;
040201;0000;;36,3;;
040301;0000;;46,1;;
040401;0000;;35,7;;
040501;0000;;45,2;;
040601;0000;;46,4;;
040701;0000;;32,0909;;
040801;0000;;34;;
040901;0000;;36,3;;
041001;0000;;44,2;;
041101;0000;;35,8;;
041201;0000;;40,2727;;
050101;0000;;65,6;;
050201;0000;;41,1111;;
050301;0000;;46,8182;;
050401;0000;;40,1;;
050501;0000;;37;;
050601;0000;;29,5;;
050701;0000;;45,3;;
050801;0000;;37,4545;;
050901;0000;;34,8;;
051001;0000;;46,9;;
051101;0000;;35,9;;
051201;0000;;32,1;;
060101;0000;;47,3636;;
060201;0000;;63,3333;;
060301;0000;;72,9;;
060401;0000;;47,9;;
060501;0000;;52,0909;;
060601;0000;;41,8889;;
060701;0000;;34,6;;
060801;0000;;31,8;;
060901;0000;;49,9;;
061001;0000;;33,7273;;
061101;0000;;43,7;;
061201;0000;;39,5;;
070101;0000;;41;;
070201;0000;;50,4444;;
070301;0000;;34,2;;
070401;0000;;49,5;;
070501;0000;;55,4444;;
070601;0000;;52,1;;
070701;0000;;49,8182;;
070801;0000;;50,7778;;
070901;0000;;36,6;;
071001;0000;;49,8;;
071101;0000;;46,4;;
071201;0000;;37,8182;;
080101;0000;;79,2;;
080201;0000;;49,2;;
080301;0000;;45,1;;
080401;0000;;43,8;;
080501;0000;;42,5;;
080601;0000;;55,5;;
080701;0000;;41,2727;;
080801;0000;;39,1;;
080901;0000;;43,9;;
081001;0000;;42,8;;
081101;0000;;49,7;;
081201;0000;;40,9091;;
090101;0000;;47,9;;
090201;0000;;43,6667;;
090301;0000;;32,4545;;
090401;0000;;49;;
090501;0000;;58,2;;
090601;0000;;53,4;;
090701;0000;;49,2;;
090801;0000;;60,2384;;
090901;0000;;50,7481;;
091001;0000;;53,1419;;
091101;0000;;69,2852;;
091201;0000;;52,5265;;
100101;0000;;59,5675;;
100201;0000;;58,3734;;
100301;0000;;49,5503;;
100401;0000;;59,411;;
100501;0000;;42,5383;;
100601;0000;;39,6002;;
100701;0000;;43,4036;;
100801;0000;;40,3926;;
100901;0000;;47,8331;;
101001;0000;;38,3148;;
101101;0000;;40,3879;;
101201;0000;;43,869;;
110101;0000;;53,2864;;
110201;0000;;45,8403;49,8851;
110301;0000;;58,8927;;
110401;0000;;43,5284;;
110501;0000;;48,2914;;
110601;0000;;41,4484;;
110701;0000;;38,6156;37,036;
110801;0000;;40,1399;;
110901;0000;;44,4527;42,2855;
111001;0000;;41,874;;
111101;0000;;43,5491;;
111201;0000;;47,0182;64,5809;
120101;0000;;52,1587;42,5241;
120201;0000;;46,6515;67,7277;
120301;0000;;43,5968;;
120401;0000;;42,4669;46,5863;
120501;0000;;46,9694;;
120601;0000;;33,4704;;
120701;0000;;42,0096;46,8731;
120801;0000;;28,9898;39,2002;
120901;0000;;31,5295;;
121001;0000;;26,2654;;
121101;0000;;29,1701;;
121201;0000;;31,2674;;
130101;0000;;24,7061;;
130201;0000;;49,2881;;
130301;0000;;42,8499;;
130401;0000;;43,6284;;
130501;0000;;40,15;;
130601;0000;;45,5283;;
130701;0000;;43,7603;;
130801;0000;;47,8148;;
130901;0000;;44,0261;;
131001;0000;;34,1534;;
131101;0000;;36,2371;;
131201;0000;;30,9502;;
140101;0000;;42,2252;;
140201;0000;;39,4534;;
140301;0000;;46,3505;34,6586;
140401;0000;;48,9576;53,2873;
140501;0000;;35,087;;
140601;0000;;34,4104;;
140701;0000;;37,9632;;
140801;0000;;34,9197;;
140901;0000;;31,5721;;
141001;0000;;40,028;;
141101;0000;;35,3423;;
141201;0000;;29,2089;32,4079;
150101;0000;;29,9586;36,0435;
150201;0000;;40,3655;35,1445;
150301;0000;;35,7525;;
150401;0000;;42,5819;;
150501;0000;;42,775;42,7829;
150601;0000;;56,857;60,5222;
150701;0000;;37,9318;39,6061;
150801;0000;;36,8827;;
150901;0000;;34,9269;;
151001;0000;;34,8875;;
151101;0000;;35,5332;31,4026;
151201;0000;;34,6598;;
160101;0000;;36,6903;;
160201;0000;;45,785;35,6242;
160301;0000;;44,8436;;
160401;0000;;47,7492;;
160501;0000;;42,1709;;
160601;0000;;57,9837;60,4414;
160701;0000;;49,6324;;
160801;0000;;58,9288;;
160901;0000;;51,5635;;
161001;0000;;40,6754;;
161101;0000;;48,0048;35,3607;
161201;0000;;;37,7562;
170101;0000;;;57,2568;
170201;0000;;;41,6455;
170301;0000;;;43,2994;
170401;0000;;;42,3732;
170501;0000;;;38,6452;
170601;0000;;;36,6333;
170701;0000;;;43,6333;
170801;0000;;;31,9667;
170901;0000;;;45,5667;
171001;0000;;;30,7097;
171101;0000;;;32,0333;
171201;0000;;;29,5806;
180101;0000;;;33,9655;
180201;0000;;;39,2593;
180301;0000;;;44,4516;
180401;0000;;;39,4667;
180501;0000;;;50,2258;
180601;0000;;;45,1;
180701;0000;;;40,7742;
180801;0000;;;43,9355;
180901;0000;;;38,9667;
181001;0000;;;38;
