FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090901;0000;;10,2749;;
091001;0000;;7,69025;;
091101;0000;;11,937;;
091201;0000;;16,1479;;
100101;0000;;7,96374;;
100201;0000;;8,25821;;
100301;0000;;7,55599;;
100401;0000;;10,0347;;
100501;0000;;13,3456;;
100601;0000;;11,8452;;
100701;0000;;10,1098;;
100801;0000;;7,73401;;
100901;0000;;7,93388;;
101001;0000;;5,87248;;
101101;0000;;7,92889;;
101201;0000;;7,59318;;
110101;0000;;5,94532;;
110201;0000;;4,65238;3,71802;
110301;0000;;6,57579;;
110401;0000;;11,0051;;
110501;0000;;13,675;;
110601;0000;;15,7149;;
110701;0000;;11,34;15,0629;
110801;0000;;17,6771;;
110901;0000;;11,7327;11,3088;
111001;0000;;8,75798;;
111101;0000;;8,8303;;
111201;0000;;8,7569;7,05079;
120101;0000;;11,8098;14,0928;
120201;0000;;14,5532;15,5609;
120301;0000;;8,37273;7,04623;
120401;0000;;8,25352;8,80741;
120501;0000;;11,6658;14,6146;
120601;0000;;13,4461;;
120701;0000;;18,7144;23,02;
120801;0000;;9,35324;10,5414;
120901;0000;;9,39379;;
121001;0000;;10,5825;;
121101;0000;;8,77274;;
121201;0000;;14,3722;;
130101;0000;;7,06011;;
130201;0000;;12,9699;;
130301;0000;;8,54219;;
130401;0000;;11,6372;;
130501;0000;;14,684;;
130601;0000;;15,9903;;
130701;0000;;13,5071;;
130801;0000;;12,2387;;
130901;0000;;9,4784;;
131001;0000;;6,87946;;
131101;0000;;8,28498;;
131201;0000;;12,3463;;
140101;0000;;17,4242;;
140201;0000;;11,3817;;
140301;0000;;8,71836;11,7877;
140401;0000;;9,44864;12,4617;
140501;0000;;16,1754;;
140601;0000;;11,2398;15,33;
140701;0000;;10,4514;;
140801;0000;;7,95303;;
140901;0000;;7,03245;;
141001;0000;;6,94397;;
141101;0000;;19,2805;;
141201;0000;;9,85379;15,1998;
150101;0000;;10,9724;8,40203;
150201;0000;;3,19259;2,6222;
150301;0000;;6,23064;;
150401;0000;;6,6231;;
150501;0000;;10,5381;11,187;
150601;0000;;14,4728;16,4442;
150701;0000;;12,8576;16,8924;
150801;0000;;10,9153;;
150901;0000;;6,81059;;
151001;0000;;5,58528;;
151101;0000;;5,17649;3,28866;
151201;0000;;9,83887;;
160101;0000;;9,23383;;
160201;0000;;9,03329;5,86181;
160301;0000;;4,82672;;
160401;0000;;7,6934;;
160501;0000;;11,5844;;
160601;0000;;13,2084;13,048;
160701;0000;;12,3541;;
160801;0000;;10,3476;;
160901;0000;;4,95048;;
161001;0000;;8,12616;;
161101;0000;;5,84325;3,59761;
161201;0000;;;9,31975;
170101;0000;;;6,43995;
170201;0000;;;11,2043;
170301;0000;;;9,74977;
170401;0000;;;12,0502;
170501;0000;;;10,5155;
170601;0000;;;11,9901;
170701;0000;;;12,1312;
170801;0000;;;7,1703;
170901;0000;;;5,54619;
171001;0000;;;5,43624;
171101;0000;;;4,90194;
171201;0000;;;8,61553;
180101;0000;;;7,44115;
180201;0000;;;6,3524;
180301;0000;;;7,51231;
180401;0000;;;10,2243;
180501;0000;;;12,9703;
180601;0000;;;19,4209;
180701;0000;;;10,3231;
180801;0000;;;8,30343;
180901;0000;;;9,21705;
181001;0000;;;6,58631;
