FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090901;0000;;8,34952;;
091001;0000;;7,73745;;
091101;0000;;7,63258;;
091201;0000;;6,47974;;
100101;0000;;5,82468;;
100201;0000;;6,07913;;
100301;0000;;5,86993;;
100401;0000;;9,27833;;
100501;0000;;9,14708;;
100601;0000;;9,19428;;
100701;0000;;10,1593;;
100801;0000;;8,88405;;
100901;0000;;8,53122;;
101001;0000;;6,5804;;
101101;0000;;6,7989;;
101201;0000;;5,35202;;
110101;0000;;4,90487;;
110201;0000;;5,35655;5,04159;
110301;0000;;5,111;;
110401;0000;;8,82299;;
110501;0000;;13,3147;;
110601;0000;;10,1861;;
110701;0000;;10,1503;10,6735;
110801;0000;;11,01;;
110901;0000;;10,1036;9,91795;
111001;0000;;8,85781;;
111101;0000;;7,41078;;
111201;0000;;7,36161;7,23172;
120101;0000;;7,07743;7,77634;
120201;0000;;7,64252;9,25955;
120301;0000;;8,01628;6,42045;
120401;0000;;10,1636;9,19906;
120501;0000;;10,3235;7,94639;
120601;0000;;9,46571;;
120701;0000;;11,6193;12,0366;
120801;0000;;8,80639;10,7959;
120901;0000;;8,30187;;
121001;0000;;7,4655;;
121101;0000;;6,01433;;
121201;0000;;7,2494;;
130101;0000;;9,18969;;
130201;0000;;8,57457;;
130301;0000;;9,27979;;
130401;0000;;11,2184;;
130501;0000;;10,8263;;
130601;0000;;11,2782;;
130701;0000;;9,78953;;
130801;0000;;9,04534;;
130901;0000;;8,447;;
131001;0000;;7,39012;;
131101;0000;;5,84969;;
131201;0000;;6,57238;;
140101;0000;;7,8843;;
140201;0000;;9,37213;;
140301;0000;;9,62646;10,0928;
140401;0000;;10,7327;12,1207;
140501;0000;;12,3544;;
140601;0000;;11,4664;11,8154;
140701;0000;;12,4302;;
140801;0000;;11,078;;
140901;0000;;10,0811;;
141001;0000;;10,4412;;
141101;0000;;10,8203;;
141201;0000;;8,6061;8,83651;
150101;0000;;9,01766;8,62443;
150201;0000;;8,67124;7,89828;
150301;0000;;9,14758;;
150401;0000;;10,7329;;
150501;0000;;12,2935;13,7967;
150601;0000;;12,8792;13,7869;
150701;0000;;12,8197;12,7228;
150801;0000;;10,6393;;
150901;0000;;8,15354;;
151001;0000;;8,26613;;
151101;0000;;8,25562;7,33703;
151201;0000;;7,58482;;
160101;0000;;6,46912;;
160201;0000;;7,09772;6,14648;
160301;0000;;8,57333;;
160401;0000;;9,69997;;
160501;0000;;10,9998;;
160601;0000;;11,7267;11,5089;
160701;0000;;11,1125;;
160801;0000;;10,9947;;
160901;0000;;9,27441;;
161001;0000;;9,70252;;
161101;0000;;8,9546;6,97413;
161201;0000;;;8,13728;
170101;0000;;;7,94805;
170201;0000;;;8,17049;
170301;0000;;;9,21233;
170401;0000;;;10,4275;
170501;0000;;;11,2319;
170601;0000;;;10,2293;
170701;0000;;;11,026;
170801;0000;;;9,85467;
170901;0000;;;8,2575;
171001;0000;;;8,23258;
171101;0000;;;7,504;
171201;0000;;;7,63452;
180101;0000;;;7,56677;
180201;0000;;;8,52037;
180301;0000;;;8,6571;
180401;0000;;;9,66733;
180501;0000;;;11,839;
180601;0000;;;12,5667;
180701;0000;;;10,9184;
180801;0000;;;11,3839;
180901;0000;;;9,56067;
181001;0000;;;8,6525;
