FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100201;0000;;9,03305;;
100301;0000;;8,09224;;
100401;0000;;6,89055;;
100501;0000;;6,48662;;
100601;0000;;7,31065;;
100701;0000;;7,45222;;
100801;0000;;7,66218;;
100901;0000;;7,52523;;
101001;0000;;8,63014;;
101101;0000;;5,05636;;
101201;0000;;6,01882;;
110101;0000;;4,14849;;
110201;0000;;6,15418;5,56796;
110301;0000;;5,84269;;
110401;0000;;6,70574;;
110501;0000;;6,48634;;
110601;0000;;7,37941;;
110701;0000;;6,47178;5,25011;
110801;0000;;6,41876;;
110901;0000;;9,14424;9,12394;
111001;0000;;10,5739;;
111101;0000;;11,3434;;
111201;0000;;10,374;10,2315;
120101;0000;;9,25149;7,02984;
120201;0000;;4,96866;6,46058;
120301;0000;;7,1582;6,27436;
120401;0000;;7,5001;6,38161;
120501;0000;;7,37931;6,68187;
120601;0000;;7,75363;;
120701;0000;;6,7293;3,94747;
120801;0000;;8,51945;7,07964;
120901;0000;;9,07127;;
121001;0000;;9,22653;;
121101;0000;;11,0502;;
121201;0000;;7,05349;;
130101;0000;;11,3267;;
130201;0000;;8,3895;;
130301;0000;;11,944;;
130401;0000;;10,9138;;
130501;0000;;8,13844;;
130601;0000;;8,4163;;
130701;0000;;7,4486;;
130801;0000;;7,41622;;
130901;0000;;8,27211;;
131001;0000;;10,3605;;
131101;0000;;8,64097;;
131201;0000;;8,52323;;
140101;0000;;4,41696;;
140201;0000;;5,84161;;
140301;0000;;8,41658;6,74482;
140401;0000;;8,26934;5,96593;
140501;0000;;8,75533;;
140601;0000;;8,66696;8,4029;
140701;0000;;10,1617;;
140801;0000;;13,9574;;
140901;0000;;16,4379;;
141001;0000;;18,3592;;
141101;0000;;15,6054;;
141201;0000;;16,087;12,1366;
150101;0000;;17,5258;15,0238;
150201;0000;;18,7518;15,8259;
150301;0000;;14,4662;;
150401;0000;;17,0455;;
150501;0000;;13,1931;11,7622;
150601;0000;;11,91;11,4617;
150701;0000;;15,1965;11,3646;
150801;0000;;14,432;;
150901;0000;;12,3305;;
151001;0000;;13,3471;;
151101;0000;;10,5352;8,39958;
151201;0000;;7,69821;;
160101;0000;;6,35479;;
160201;0000;;5,84224;6,56848;
160301;0000;;12,9771;;
160401;0000;;8,66303;;
160501;0000;;6,06167;;
160601;0000;;5,08532;5,95775;
160701;0000;;8,88502;;
160801;0000;;9,05553;;
160901;0000;;14,2109;;
161001;0000;;12,2124;;
161101;0000;;10,0962;12,8171;
161201;0000;;;10,2759;
170101;0000;;;10,843;
170201;0000;;;5,73466;
170301;0000;;;9,01012;
170401;0000;;;8,85592;
170501;0000;;;9,06452;
170601;0000;;;9,66667;
170701;0000;;;9,06667;
170801;0000;;;11;
170901;0000;;;11,6333;
171001;0000;;;11,0968;
171101;0000;;;11,2667;
171201;0000;;;10,6129;
180101;0000;;;10,4516;
180201;0000;;;7,92308;
180301;0000;;;6,87097;
180401;0000;;;9,03333;
180501;0000;;;9,93548;
180601;0000;;;9,93333;
180701;0000;;;11,7419;
180801;0000;;;13,4194;
180901;0000;;;12,4667;
181001;0000;;;12,1071;
