FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;4,60985;;
930201;0000;;28,4266;;
930301;0000;;19,3504;;
930401;0000;;25,7598;;
930501;0000;;40,5573;;
930601;0000;;52,4971;;
930701;0000;;40,9048;;
930801;0000;;60,4107;;
930901;0000;;28,5923;;
931001;0000;;32,3801;;
931101;0000;;20,5097;;
931201;0000;;10,0288;;
940101;0000;;9,47126;;
940201;0000;;20,4763;;
940301;0000;;14,6756;;
940401;0000;;25,6633;;
940501;0000;;30,919;;
940601;0000;;57,1277;;
940701;0000;;31,7444;;
940801;0000;;36,3519;;
940901;0000;;21,3039;;
941001;0000;;24,5189;;
941101;0000;;15,0442;;
941201;0000;;10,9427;;
950101;0000;;24,09;;
950201;0000;;12,7673;;
950301;0000;;38,4887;;
950401;0000;;34,9698;;
950501;0000;;73,2585;;
950601;0000;;74,4593;;
950701;0000;;41,0946;;
950801;0000;;46,8337;;
950901;0000;;41,047;;
951001;0000;;41,7608;;
951101;0000;;23,5537;;
951201;0000;;40,2677;;
960101;0000;;25,9045;;
960201;0000;;25,4144;;
960301;0000;;36,0284;;
960401;0000;;37,3365;;
960501;0000;;45,921;;
960601;0000;;44,2557;;
960701;0000;;44,4084;;
960801;0000;;36,3393;;
960901;0000;;50,8392;;
961001;0000;;31,6256;;
961101;0000;;38,4489;;
961201;0000;;28,5198;;
970101;0000;;16,5787;;
970201;0000;;12,9999;;
970301;0000;;13,2568;;
970401;0000;;25,9538;;
970501;0000;;11,8021;;
970601;0000;;14,7569;;
970701;0000;;15,2287;;
970801;0000;;36,6911;;
970901;0000;;15,7921;;
971001;0000;;12,9426;;
971101;0000;;8,95434;;
971201;0000;;3,91739;;
980101;0000;;3,50467;;
980201;0000;;4,80671;;
980301;0000;;2,65872;;
980401;0000;;3,97407;;
980501;0000;;5,35181;;
980601;0000;;7,77029;;
980701;0000;;11,8896;;
980801;0000;;9,7935;;
980901;0000;;9,48281;;
981001;0000;;13,5612;;
981101;0000;;10,6643;;
981201;0000;;7,64065;;
990101;0000;;8,08907;;
990201;0000;;7,29211;;
990301;0000;;9,88789;;
990401;0000;;8,5135;;
990501;0000;;9,90062;;
990601;0000;;11,1402;;
990701;0000;;12,4827;;
990801;0000;;11,5608;;
990901;0000;;7,94221;;
991001;0000;;5,82546;;
991101;0000;;9,04479;;
991201;0000;;9,00942;;
000101;0000;;3,26498;;
000201;0000;;8,57059;;
000301;0000;;7,73533;;
000401;0000;;8,19094;;
000501;0000;;9,71108;;
000601;0000;;5,14094;;
000701;0000;;16,2066;;
000801;0000;;9,37354;;
000901;0000;;6,82597;;
001001;0000;;13,0726;;
001101;0000;;13,1886;;
001201;0000;;9,45138;;
010101;0000;;12,4005;;
010201;0000;;9,13019;;
010301;0000;;11,4475;;
010401;0000;;10,9934;;
010501;0000;;5,73553;;
010601;0000;;17,0782;;
010701;0000;;11,7982;;
010801;0000;;20,4216;;
010901;0000;;6,07242;;
011001;0000;;5,15375;;
011101;0000;;7,76235;;
011201;0000;;6,24827;;
020101;0000;;4,0302;;
020201;0000;;1,61538;;
020301;0000;;3,99501;;
020401;0000;;5,73453;;
020501;0000;;4,57823;;
020601;0000;;8,37944;;
020701;0000;;9,17516;;
020801;0000;;8,97601;;
020901;0000;;10,5036;;
021001;0000;;7,75199;;
021101;0000;;5,02703;;
021201;0000;;2,61154;;
030101;0000;;3,02419;;
030201;0000;;1,08483;;
030301;0000;;5,28861;;
030401;0000;;5,28167;;
030501;0000;;5,54255;;
030601;0000;;7,60919;;
030701;0000;;11,5997;;
030801;0000;;10,1396;;
030901;0000;;11,9678;;
031001;0000;;3,72097;;
031101;0000;;4,19528;;
031201;0000;;5,54186;;
040101;0000;;4,70993;;
040201;0000;;2,79727;;
040301;0000;;5,27476;;
040401;0000;;9,78685;;
040501;0000;;8,73037;;
040601;0000;;13,3842;;
040701;0000;;7,94528;;
040801;0000;;4,22972;;
040901;0000;;4,33232;;
041001;0000;;3,73444;;
041101;0000;;3,46003;;
041201;0000;;2,32034;;
050101;0000;;3,43711;;
050201;0000;;6,0688;;
050301;0000;;2,44266;;
050401;0000;;4,84573;;
050501;0000;;11,4078;;
050601;0000;;9,89882;;
050701;0000;;11,6043;;
050801;0000;;7,37604;;
050901;0000;;8,01472;;
051001;0000;;5,45351;;
051101;0000;;5,76812;;
051201;0000;;2,97237;;
060101;0000;;3,00162;;
060201;0000;;4,15416;;
060301;0000;;10,7813;;
060401;0000;;12,7083;;
060501;0000;;18,1614;;
060601;0000;;14,0543;;
060701;0000;;14,0856;;
060801;0000;;10,2897;;
060901;0000;;14,0065;;
061001;0000;;9,44456;;
061101;0000;;8,14725;;
061201;0000;;7,78836;;
070101;0000;;6,24691;;
070201;0000;;5,40825;;
070301;0000;;9,17703;;
070401;0000;;9,79006;;
070501;0000;;11,5523;;
070601;0000;;9,5878;;
070701;0000;;15,0748;;
070801;0000;;16,2583;;
070901;0000;;14,5913;;
071001;0000;;10,512;;
071101;0000;;10,3318;;
071201;0000;;6,06912;;
080101;0000;;4,94317;;
080201;0000;;6,97818;;
080301;0000;;5,73403;;
080401;0000;;6,91793;;
080501;0000;;8,64985;;
080601;0000;;18,7017;;
080701;0000;;19,2548;;
080801;0000;;16,2622;;
080901;0000;;15,2921;;
081001;0000;;13,9036;;
081101;0000;;18,918;;
081201;0000;;18,2864;;
090101;0000;;14,3648;;
090201;0000;;11,0562;;
090301;0000;;11,0189;;
090401;0000;;12,0043;;
090501;0000;;10,4926;;
090601;0000;;10,7453;;
090701;0000;;12,3625;;
090801;0000;;16,4641;;
090901;0000;;18,5652;;
091001;0000;;9,35149;;
091101;0000;;12,2983;;
091201;0000;;15,4432;;
100101;0000;;4,64915;;
100201;0000;;5,49687;;
100301;0000;;4,33214;;
100401;0000;;3,86932;;
100501;0000;;2,05596;;
100601;0000;;1,25217;;
100701;0000;;2,34189;;
100801;0000;;1,95887;;
100901;0000;;3,12289;;
101001;0000;;2,08998;;
101101;0000;;2,13905;;
101201;0000;;1,77792;;
110101;0000;;1,35768;;
110201;0000;;1,27698;1,06699;
110301;0000;;1,05058;;
110401;0000;;4,2966;;
110501;0000;;7,78547;;
110601;0000;;5,53611;;
110701;0000;;2,3879;3,41646;
110801;0000;;7,95752;;
110901;0000;;5,00177;5,42077;
111001;0000;;4,69727;;
111101;0000;;4,93808;;
111201;0000;;5,55142;5,40133;
120101;0000;;5,89594;6,9865;
120201;0000;;7,77269;7,63941;
120301;0000;;5,14345;3,36985;
120401;0000;;3,99767;6,00654;
120501;0000;;4,86697;2,98925;
120601;0000;;6,43179;;
120701;0000;;8,71188;5,04301;
120801;0000;;3,34125;5,81898;
120901;0000;;4,55378;;
121001;0000;;4,9073;;
121101;0000;;4,98664;;
121201;0000;;10,8332;;
130101;0000;;7,49257;;
130201;0000;;10,9169;;
130301;0000;;7,52432;;
130401;0000;;9,72117;;
130501;0000;;9,62476;;
130601;0000;;10,4467;;
130701;0000;;8,21904;;
130801;0000;;11,724;;
130901;0000;;12,2756;;
131001;0000;;6,20824;;
131101;0000;;4,48929;;
131201;0000;;5,64696;;
140101;0000;;11,9915;;
140201;0000;;7,11692;;
140301;0000;;8,82496;9,60871;
140401;0000;;7,81087;6,4553;
140501;0000;;13,6094;;
140601;0000;;6,52374;7,96946;
140701;0000;;11,9297;;
140801;0000;;11,7053;;
140901;0000;;8,53905;;
141001;0000;;10,9034;;
141101;0000;;17,0409;;
141201;0000;;10,1988;18,6167;
150101;0000;;6,09635;6,51631;
150201;0000;;3,07964;2,42029;
150301;0000;;5,11045;;
150401;0000;;4,62145;;
150501;0000;;5,03326;8,23707;
150601;0000;;6,77839;6,53899;
150701;0000;;8,33448;6,40961;
150801;0000;;5,76171;;
150901;0000;;6,77821;;
151001;0000;;3,19439;;
151101;0000;;4,21353;3,97501;
151201;0000;;6,47599;;
160101;0000;;5,03536;;
160201;0000;;4,76104;3,04941;
160301;0000;;4,80105;;
160401;0000;;3,22122;;
160501;0000;;5,41855;;
160601;0000;;6,98681;4,76424;
160701;0000;;7,42851;;
160801;0000;;7,50745;;
160901;0000;;5,62711;;
161001;0000;;3,31908;;
161101;0000;;5,29569;3,30282;
161201;0000;;;4,29441;
170101;0000;;;4,89053;
170201;0000;;;7,27587;
170301;0000;;;6,45911;
170401;0000;;;6,89962;
170501;0000;;;5,79484;
170601;0000;;;6,74133;
170701;0000;;;6,198;
170801;0000;;;5,52233;
170901;0000;;;6,65833;
171001;0000;;;6,75065;
171101;0000;;;6,86733;
171201;0000;;;6,64484;
180101;0000;;;5,32484;
180201;0000;;;6,01667;
180301;0000;;;4,87774;
180401;0000;;;6,91333;
180501;0000;;;9,70581;
180601;0000;;;8,53967;
180701;0000;;;6,57742;
180801;0000;;;9,61516;
180901;0000;;;6,93;
181001;0000;;;5,40769;
