FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100401;0000;;0,0501823;;
100501;0000;;0,0793445;;
100601;0000;;0,0790936;;
100701;0000;;0,0336442;;
100801;0000;;0,0728864;;
100901;0000;;0,181993;;
101001;0000;;0,0323239;;
101101;0000;;0,0240827;;
101201;0000;;0,0227628;;
110101;0000;;0,0339335;;
110201;0000;;0,124604;;
110301;0000;;0,142924;;
110401;0000;;0,0648925;;
110501;0000;;0,042988;;
110601;0000;;0,0415906;;
110701;0000;;0,0318185;;
110801;0000;;0,0453502;;
110901;0000;;0,0511789;0,131591;
111001;0000;;0,0178844;;
111101;0000;;0,0306499;;
111201;0000;;0,023274;0,0230913;
120101;0000;;0,0223699;;
120201;0000;;0,0195216;0,0316662;
120301;0000;;0,0223637;0,0183523;
120401;0000;;0,0518599;0,02186;
120501;0000;;0,0245486;;
120601;0000;;0,0255115;;
120701;0000;;0,043921;0,0492503;
120801;0000;;0,049769;0,0513212;
120901;0000;;0,0408677;;
121001;0000;;0,0388009;;
121101;0000;;0,0395358;;
121201;0000;;0,0380891;;
130101;0000;;0,0328299;;
130201;0000;;0,0412464;;
130301;0000;;0,0715872;;
130401;0000;;0,0990248;;
130501;0000;;0,100273;;
130601;0000;;0,103258;;
130701;0000;;0,0375266;;
130801;0000;;0,0223231;;
130901;0000;;0,0252356;;
131001;0000;;0,0139652;;
131101;0000;;0,0143098;;
131201;0000;;0,015492;;
140101;0000;;0,0162059;;
140201;0000;;0,0210671;;
140301;0000;;0,108339;;
140401;0000;;0,0210282;;
140501;0000;;0,0393282;0,0258657;
140601;0000;;0,0185399;;
140701;0000;;0,110043;;
140801;0000;;0,129502;;
140901;0000;;0,104925;;
141001;0000;;0,112539;0,0954554;
141101;0000;;0,115098;0,176544;
141201;0000;;0,173586;;
150101;0000;;0,108107;;
150201;0000;;0,168157;;
150301;0000;;0,147879;;
150401;0000;;0,178666;;
150501;0000;;0,231697;;
150601;0000;;0,262353;;
150701;0000;;0,171674;;
150801;0000;;0,110055;;
150901;0000;;0,152668;;
151001;0000;;0,165921;;
151101;0000;;0,168571;;
151201;0000;;0,119109;;
160101;0000;;0,123805;;
160201;0000;;0,135466;;
160301;0000;;0,134532;;
160401;0000;;0,144718;;
160501;0000;;0,172938;;
160601;0000;;0,154506;;
160701;0000;;0,149204;;
160801;0000;;0,123568;;
160901;0000;;0,111726;;
161001;0000;;0,0971232;;
161101;0000;;0,107303;0,0972829;
161201;0000;;;0,105603;
170101;0000;;;0,132155;
170201;0000;;;0,153233;
170301;0000;;;0,107979;
170401;0000;;;0,128942;
170501;0000;;;0,0449143;
170601;0000;;;0,0521133;
170701;0000;;;0,0659127;
170801;0000;;;0,0599884;
170901;0000;;;0,0303591;
171001;0000;;;0,0502538;
171101;0000;;;0,0440292;
171201;0000;;;0,0554822;
180101;0000;;;0,0338508;
180201;0000;;;0,046168;
180301;0000;;;0,0418198;
180401;0000;;;0,0333892;
180501;0000;;;0,0440394;
180601;0000;;;0,0477805;
180701;0000;;;0,0685853;
180801;0000;;;0,0591184;
180901;0000;;;0,035588;
181001;0000;;;0,0405473;
