FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100101;0000;;4,77184e-07;;
100201;0000;;3,34276e-07;;
100301;0000;;0,762819;;
100401;0000;;1,74364;;
100501;0000;;1,63159;;
100601;0000;;1,62772;;
100701;0000;;1,69692;;
100801;0000;;1,7597;;
100901;0000;;2,00221;;
101001;0000;;2,05446;;
101101;0000;;2,04669;;
101201;0000;;1,86668;;
110101;0000;;1,80478;;
110201;0000;;2,34747;;
110301;0000;;2,48632;;
110401;0000;;2,16895;;
110501;0000;;1,92617;;
110601;0000;;1,90859;;
110701;0000;;1,86878;;
110801;0000;;2,09417;;
110901;0000;;2,09095;2,47383;
111001;0000;;2,0199;;
111101;0000;;2,02021;;
111201;0000;;2,06328;2,07898;
120101;0000;;2,05032;;
120201;0000;;1,87028;1,94006;
120301;0000;;1,80091;1,82985;
120401;0000;;1,90475;1,79826;
120501;0000;;1,7783;;
120601;0000;;1,80548;;
120701;0000;;1,96672;2,00579;
120801;0000;;2,04842;2,12913;
120901;0000;;2,06917;;
121001;0000;;1,98661;;
121101;0000;;2,04617;;
121201;0000;;2,04733;;
130101;0000;;1,79557;;
130201;0000;;1,57787;;
130301;0000;;1,79314;;
130401;0000;;1,63747;;
130501;0000;;1,65461;;
130601;0000;;1,71028;;
130701;0000;;2,06381;;
130801;0000;;2,18075;;
130901;0000;;2,1589;;
131001;0000;;2,0614;;
131101;0000;;2,08435;;
131201;0000;;2,00136;;
140101;0000;;2,21961;;
140201;0000;;2,51399;;
140301;0000;;2,63182;;
140401;0000;;2,63693;;
140501;0000;;2,63122;2,64637;
140601;0000;;2,67587;;
140701;0000;;2,63167;;
140801;0000;;2,39943;;
140901;0000;;2,24113;;
141001;0000;;2,02856;2,06852;
141101;0000;;1,96224;2,00103;
141201;0000;;1,99115;;
150101;0000;;1,9869;;
150201;0000;;2,2393;;
150301;0000;;2,1151;;
150401;0000;;1,93268;;
150501;0000;;1,89109;;
150601;0000;;2,1479;;
150701;0000;;2,06772;;
150801;0000;;2,3074;;
150901;0000;;2,17282;;
151001;0000;;2,14722;;
151101;0000;;2,07753;;
151201;0000;;1,97417;;
160101;0000;;2,03354;;
160201;0000;;2,03853;;
160301;0000;;1,9944;;
160401;0000;;1,96923;;
160501;0000;;2,10044;;
160601;0000;;1,92831;;
160701;0000;;1,8691;;
160801;0000;;1,81648;;
160901;0000;;1,79553;;
161001;0000;;1,77156;;
161101;0000;;1,63858;1,60956;
161201;0000;;;1,63403;
170101;0000;;;1,68;
170201;0000;;;1,69449;
170301;0000;;;1,61896;
170401;0000;;;1,67995;
170501;0000;;;1,72166;
170601;0000;;;1,91535;
170701;0000;;;2,03842;
170801;0000;;;1,87537;
170901;0000;;;1,97269;
171001;0000;;;1,95822;
171101;0000;;;1,99833;
171201;0000;;;1,98229;
180101;0000;;;1,88076;
180201;0000;;;1,84284;
180301;0000;;;1,98222;
180401;0000;;;1,83865;
180501;0000;;;1,91496;
180601;0000;;;1,96636;
180701;0000;;;2,03403;
180801;0000;;;2,09003;
180901;0000;;;2,00794;
181001;0000;;;1,93639;
