FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
940201;0000;;86,2222;;
940301;0000;;77,9;;
940401;0000;;77,2;;
940501;0000;;70,6364;;
940601;0000;;67,8;;
940701;0000;;49,2;;
940801;0000;;54,3;;
940901;0000;;62,9;;
941001;0000;;48,9;;
941101;0000;;55,2;;
941201;0000;;78,4444;;
950101;0000;;86;;
950201;0000;;70,8;;
950301;0000;;88,9;;
950401;0000;;66,6;;
950501;0000;;91,9;;
950601;0000;;57,8889;;
950701;0000;;47,5455;;
950801;0000;;58,2222;;
950901;0000;;57,7778;;
951001;0000;;55,9;;
951101;0000;;39,5556;;
951201;0000;;49,5455;;
960101;0000;;73,7;;
960201;0000;;53,6;;
960301;0000;;48,3;;
960401;0000;;50,3;;
960501;0000;;47,6667;;
960601;0000;;52,1;;
960701;0000;;44,9091;;
960801;0000;;32,6;;
960901;0000;;42,25;;
961001;0000;;38,1111;;
961101;0000;;45,6;;
961201;0000;;39,4545;;
970101;0000;;47,2;;
970201;0000;;48,7778;;
970301;0000;;41,1818;;
970401;0000;;65,3333;;
970501;0000;;43,4;;
970601;0000;;25,2222;;
970701;0000;;34,4;;
970801;0000;;57,3;;
970901;0000;;31,4444;;
971001;0000;;31,1;;
971101;0000;;50;;
971201;0000;;48,3;;
980101;0000;;57,1818;;
980201;0000;;45,7778;;
980301;0000;;58,3;;
980401;0000;;53,9;;
980501;0000;;57,6;;
980601;0000;;37;;
980701;0000;;46,2;;
980801;0000;;38,5;;
980901;0000;;42;;
981001;0000;;51,4;;
981101;0000;;36,7778;;
981201;0000;;56,7;;
990101;0000;;42,6;;
990201;0000;;42,8889;;
990301;0000;;71,5;;
990401;0000;;53,5;;
990501;0000;;37,5;;
990601;0000;;29,4;;
990701;0000;;30;;
990801;0000;;28;;
990901;0000;;28,3;;
991001;0000;;33,2;;
991101;0000;;47,9;;
991201;0000;;43,1;;
000101;0000;;41,7778;;
000201;0000;;42,7;;
000301;0000;;40;;
000401;0000;;34;;
000501;0000;;32,7;;
000601;0000;;16,1;;
000701;0000;;32,1818;;
000801;0000;;28,9;;
000901;0000;;30,9;;
001001;0000;;33,8;;
001101;0000;;39,6;;
001201;0000;;57;;
010101;0000;;40,3333;;
010201;0000;;41;;
010301;0000;;35,25;;
010401;0000;;27,1;;
010501;0000;;25,9;;
010601;0000;;36;;
010701;0000;;26,8889;;
010801;0000;;25;;
010901;0000;;25,8;;
011001;0000;;27,6;;
011101;0000;;31,7;;
011201;0000;;35,5;;
020101;0000;;36,7273;;
020201;0000;;39,6667;;
020301;0000;;42,5;;
020401;0000;;43,8;;
020501;0000;;32;;
020601;0000;;28,1111;;
020701;0000;;33,9;;
020801;0000;;25,1;;
020901;0000;;28,9;;
021001;0000;;32,6364;;
021101;0000;;41;;
021201;0000;;34,8;;
030101;0000;;36,9;;
030201;0000;;32,6;;
030301;0000;;29;;
030401;0000;;42,3333;;
030501;0000;;46,7778;;
030601;0000;;30,9;;
030701;0000;;33,4545;;
030801;0000;;32,7;;
030901;0000;;28;;
031001;0000;;29,6667;;
031101;0000;;25,1;;
031201;0000;;33,1;;
040101;0000;;26,2;;
040201;0000;;32,8;;
040301;0000;;32,6;;
040401;0000;;29,1;;
040501;0000;;34,4;;
040601;0000;;33;;
040701;0000;;26,2727;;
040801;0000;;20,2;;
040901;0000;;24,8;;
041001;0000;;24,9;;
041101;0000;;28,6;;
041201;0000;;34;;
050101;0000;;55,4;;
050201;0000;;29,2222;;
050301;0000;;48,2727;;
050401;0000;;35,8;;
050501;0000;;25,4444;;
050601;0000;;20,1111;;
050701;0000;;32,3;;
050801;0000;;27,2727;;
050901;0000;;21,8;;
051001;0000;;30,9;;
051101;0000;;29,7;;
051201;0000;;27,8;;
060101;0000;;45,2727;;
060201;0000;;36,4444;;
060301;0000;;51;;
060401;0000;;37,9;;
060501;0000;;47;;
060601;0000;;31,8;;
060701;0000;;25,8;;
060801;0000;;30,9;;
060901;0000;;35;;
061001;0000;;32,1818;;
061101;0000;;42,7778;;
061201;0000;;43,6;;
070101;0000;;42,6;;
070201;0000;;32;;
070301;0000;;28,8;;
070401;0000;;37,6;;
070501;0000;;42,7;;
070601;0000;;31,2;;
070701;0000;;31,8182;;
070801;0000;;34,3;;
070901;0000;;36,2;;
071001;0000;;35,6;;
071101;0000;;36,4;;
071201;0000;;35,3636;;
080101;0000;;54,5;;
080201;0000;;33;;
080301;0000;;40,5;;
080401;0000;;32;;
080501;0000;;40,8;;
080601;0000;;40,2;;
080701;0000;;26;;
080801;0000;;23,6;;
080901;0000;;36,2;;
081001;0000;;36,7;;
081101;0000;;36,2;;
081201;0000;;38,7273;;
090101;0000;;52,6;;
090201;0000;;37,7778;;
090301;0000;;30,3;;
090401;0000;;43,8;;
090501;0000;;41,2;;
090601;0000;;37,1;;
090701;0000;;31,3;;
090801;0000;;45,3565;;
090901;0000;;31,2269;;
091001;0000;;35,1227;;
091101;0000;;36,8973;;
091201;0000;;41,8402;;
100101;0000;;46,2855;;
100201;0000;;38,5678;;
100301;0000;;45,7263;;
100401;0000;;42,9124;;
100501;0000;;32,8808;;
100601;0000;;25,3581;;
100701;0000;;24,1639;;
100801;0000;;29,5635;;
100901;0000;;31,3637;;
101001;0000;;28,8456;;
101101;0000;;31,4516;;
101201;0000;;32,8486;;
110101;0000;;43,8203;;
110201;0000;;34,0634;40,9385;
110301;0000;;40,552;;
110401;0000;;34,7688;;
110501;0000;;39,7211;;
110601;0000;;30,8991;;
110701;0000;;24,7654;;
110801;0000;;28,5296;;
110901;0000;;33,8929;30,1491;
111001;0000;;31,8855;;
111101;0000;;34,6045;;
111201;0000;;39,6609;48,5081;
120101;0000;;36,8693;;
120201;0000;;37,125;48,8211;
120301;0000;;39,0874;26,5678;
120401;0000;;34,4342;38,2516;
120501;0000;;34,4167;29,0433;
120601;0000;;21,828;;
