FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090901;0000;;5,06999;;
091001;0000;;4,71787;;
091101;0000;;4,0994;;
091201;0000;;7,44745;;
100101;0000;;4,0321;;
100201;0000;;3,4117;;
100301;0000;;5,81145;;
100401;0000;;5,68661;;
100501;0000;;9,18908;;
100601;0000;;5,67923;;
100701;0000;;3,25319;;
100801;0000;;4,17619;;
100901;0000;;5,94427;;
101001;0000;;5,16698;;
101101;0000;;6,83446;;
101201;0000;;4,9799;;
110101;0000;;4,83193;;
110201;0000;;3,60851;4,01349;
110301;0000;;5,54534;;
110401;0000;;6,72061;;
110501;0000;;10,1925;;
110601;0000;;6,51181;;
110701;0000;;4,06905;;
110801;0000;;9,06855;;
110901;0000;;7,6626;4,41583;
111001;0000;;5,40159;;
111101;0000;;3,85027;;
111201;0000;;5,48601;;
120101;0000;;4,44554;6,1162;
120201;0000;;8,36127;5,34261;
120301;0000;;5,34103;7,27184;
120401;0000;;6,05916;6,28817;
120501;0000;;6,57328;;
120601;0000;;6,05577;;
120701;0000;;11,2176;16,6303;
120801;0000;;4,6069;7,81961;
120901;0000;;5,12933;;
121001;0000;;5,40653;;
121101;0000;;5,01915;;
121201;0000;;4,93991;;
130101;0000;;3,21453;;
130201;0000;;6,92108;;
130301;0000;;6,6578;;
130401;0000;;7,88073;;
130501;0000;;8,38679;;
130601;0000;;7,19736;;
130701;0000;;4,92636;;
130801;0000;;7,43565;;
130901;0000;;4,5894;;
131001;0000;;4,70297;;
131101;0000;;3,74685;;
131201;0000;;6,34385;;
140101;0000;;5,81585;;
140201;0000;;6,87079;;
140301;0000;;7,7729;;
140401;0000;;6,51779;;
140501;0000;;15,0581;5,601;
140601;0000;;4,2268;;
140701;0000;;4,45648;;
140801;0000;;4,12754;;
140901;0000;;5,19642;;
141001;0000;;6,04155;5,2184;
141101;0000;;6,20404;7,40599;
141201;0000;;4,9846;7,08935;
150101;0000;;3,9885;6,24965;
150201;0000;;2,85558;3,44678;
150301;0000;;5,19494;;
150401;0000;;4,39001;;
150501;0000;;4,06337;7,98118;
150601;0000;;7,70592;4,74259;
150701;0000;;6,47214;7,00667;
150801;0000;;4,45225;;
150901;0000;;3,39193;;
151001;0000;;2,94416;;
151101;0000;;4,2477;3,06453;
151201;0000;;5,31581;;
160101;0000;;3,39018;;
160201;0000;;4,95852;2,29138;
160301;0000;;4,12397;;
160401;0000;;3,2687;;
160501;0000;;5,73523;;
160601;0000;;6,12998;;
160701;0000;;7,10318;;
160801;0000;;6,08507;;
160901;0000;;4,36457;;
161001;0000;;3,0676;;
161101;0000;;5,03486;2,97844;
161201;0000;;;4,54258;
170101;0000;;;6,0074;
170201;0000;;;5,90038;
170301;0000;;;5,12218;
170401;0000;;;6,35998;
170501;0000;;;4,85367;
170601;0000;;;4,50169;
170701;0000;;;7,05746;
170801;0000;;;3,66698;
170901;0000;;;3,95246;
171001;0000;;;4,56255;
171101;0000;;;3,84836;
171201;0000;;;6,24641;
180101;0000;;;6,48457;
180201;0000;;;7,50701;
180301;0000;;;6,29057;
180401;0000;;;6,52248;
180501;0000;;;10,468;
180601;0000;;;9,99357;
180701;0000;;;6,975;
180801;0000;;;4,36591;
180901;0000;;;5,592;
181001;0000;;;5,51832;
