FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090901;0000;;6,98235;;
091001;0000;;6,69838;;
091101;0000;;6,09945;;
091201;0000;;4,25961;;
100101;0000;;5,44472;;
100201;0000;;5,26717;;
100301;0000;;5,84131;;
100401;0000;;6,90217;;
100501;0000;;9,36987;;
100601;0000;;7,26606;;
100701;0000;;7,14801;;
100801;0000;;5,74393;;
100901;0000;;7,07767;;
101001;0000;;5,51581;;
101101;0000;;6,43704;;
101201;0000;;4,96326;;
110101;0000;;4,86574;;
110201;0000;;4,99269;4,91164;
110301;0000;;6,24105;;
110401;0000;;7,33457;;
110501;0000;;11,1472;;
110601;0000;;8,71565;;
110701;0000;;7,22351;;
110801;0000;;9,0212;;
110901;0000;;7,77384;7,49279;
111001;0000;;6,84826;;
111101;0000;;6,31599;;
111201;0000;;6,36428;6,39168;
120101;0000;;5,21723;5,59471;
120201;0000;;6,22611;5,46713;
120301;0000;;7,14971;6,79757;
120401;0000;;8,7066;8,01775;
120501;0000;;8,75501;;
120601;0000;;7,20808;;
120701;0000;;9,88812;13,3315;
120801;0000;;7,48975;9,41348;
120901;0000;;7,0631;;
121001;0000;;6,33121;;
121101;0000;;6,0518;;
121201;0000;;5,28778;;
130101;0000;;5,41634;;
130201;0000;;6,12623;;
130301;0000;;7,79173;;
130401;0000;;9,44026;;
130501;0000;;9,14606;;
130601;0000;;10,2934;;
130701;0000;;7,8502;;
130801;0000;;8,26579;;
130901;0000;;7,14734;;
131001;0000;;6,99601;;
131101;0000;;5,88391;;
131201;0000;;6,83349;;
140101;0000;;5,59697;;
140201;0000;;6,87952;;
140301;0000;;7,70385;;
140401;0000;;9,56255;;
140501;0000;;10,5725;11,4399;
140601;0000;;8,55896;;
140701;0000;;9,1853;;
140801;0000;;7,79181;;
140901;0000;;6,80161;;
141001;0000;;7,00492;;
141101;0000;;5,79062;6,0985;
141201;0000;;4,81392;4,90258;
150101;0000;;7,02938;5,78755;
150201;0000;;5,75641;4,30656;
150301;0000;;7,41834;;
150401;0000;;9,43185;;
150501;0000;;7,99901;12,3576;
150601;0000;;9,59505;10,3247;
150701;0000;;10,7896;10,7643;
150801;0000;;5,96407;;
150901;0000;;7,11381;;
151001;0000;;5,30839;;
151101;0000;;5,13619;;
151201;0000;;4,89528;;
160101;0000;;4,36037;;
160201;0000;;5,77708;;
160301;0000;;6,32256;;
160401;0000;;4,60096;;
160501;0000;;8,4338;;
160601;0000;;7,78854;;
160701;0000;;8,65675;;
160801;0000;;8,24851;;
160901;0000;;6,74608;;
161001;0000;;5,84518;;
161101;0000;;5,27614;4,25494;
161201;0000;;;5,21378;
170101;0000;;;5,76423;
170201;0000;;;5,52679;
170301;0000;;;6,26863;
170401;0000;;;7,83395;
170501;0000;;;6,49893;
170601;0000;;;5,55867;
170701;0000;;;5,999;
170801;0000;;;4,56871;
170901;0000;;;4,41958;
171001;0000;;;5,82645;
171101;0000;;;8,07667;
171201;0000;;;7,93774;
180101;0000;;;8,0071;
180201;0000;;;8,83;
180301;0000;;;8,81419;
180401;0000;;;8,78379;
180501;0000;;;8,93677;
180601;0000;;;9,05967;
180701;0000;;;8,91452;
180801;0000;;;7,40677;
180901;0000;;;5,731;
181001;0000;;;6,55929;
