FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090901;0000;;13,2632;;
091001;0000;;13,2896;;
091101;0000;;10,4777;;
091201;0000;;9,26277;;
100101;0000;;8,77119;;
100201;0000;;8,73461;;
100301;0000;;9,76299;;
100401;0000;;11,2923;;
100501;0000;;9,48968;;
100601;0000;;11,7547;;
100701;0000;;11,9797;;
100801;0000;;13,3312;;
100901;0000;;13,1166;;
101001;0000;;11,6992;;
101101;0000;;11,1261;;
101201;0000;;9,79021;;
110101;0000;;6,85147;;
110201;0000;;9,02157;8,13247;
110301;0000;;9,24957;;
110401;0000;;10,3038;;
110501;0000;;10,3997;;
110601;0000;;10,2387;;
110701;0000;;10,962;;
110801;0000;;9,64416;;
110901;0000;;8,78642;9,63594;
111001;0000;;11,9174;;
111101;0000;;10,0878;;
111201;0000;;8,6711;8,90372;
120101;0000;;8,25631;6,29317;
120201;0000;;5,35376;6,276;
120301;0000;;7,83848;7,77419;
120401;0000;;11,2582;7,25249;
120501;0000;;7,61252;;
120601;0000;;6,18151;;
120701;0000;;8,06351;4,60619;
120801;0000;;11,7816;11,0478;
120901;0000;;12,5684;;
121001;0000;;12,2709;;
121101;0000;;13,1882;;
121201;0000;;9,45511;;
130101;0000;;11,3375;;
130201;0000;;9,18754;;
130301;0000;;12,8498;;
130401;0000;;12,017;;
130501;0000;;10,3565;;
130601;0000;;11,1729;;
130701;0000;;11,722;;
130801;0000;;12,9356;;
130901;0000;;14,4186;;
131001;0000;;12,8953;;
131101;0000;;12,5257;;
131201;0000;;12,7596;;
140101;0000;;7,67454;;
140201;0000;;6,37324;;
140301;0000;;12,0701;;
140401;0000;;10,6695;;
140501;0000;;8,41429;8,80774;
140601;0000;;12,9781;;
140701;0000;;16,2034;;
140801;0000;;22,3121;;
140901;0000;;22,9556;;
141001;0000;;23,6252;24,6082;
141101;0000;;23,6523;20,6088;
141201;0000;;21,9523;16,2601;
150101;0000;;20,8019;19,6565;
150201;0000;;21,9173;19,6152;
150301;0000;;19,7073;;
150401;0000;;24,9526;;
150501;0000;;23,4538;17,7278;
150601;0000;;17,6074;19,397;
150701;0000;;20,8532;18,2795;
150801;0000;;18,5019;;
150901;0000;;18,1252;;
151001;0000;;21,5549;;
151101;0000;;19,1545;19,9192;
151201;0000;;14,5629;;
160101;0000;;11,8844;;
160201;0000;;8,75242;10,6975;
160301;0000;;15,8331;;
160401;0000;;14,8382;;
160501;0000;;10,98;;
160601;0000;;10,1454;10,6414;
160701;0000;;11,8246;;
160801;0000;;14,0552;;
160901;0000;;15,3659;;
161001;0000;;13,9808;;
161101;0000;;11,4499;13,9633;
161201;0000;;;11,1545;
170101;0000;;;10,1978;
170201;0000;;;7,48413;
170301;0000;;;11,14;
170401;0000;;;12,1812;
170501;0000;;;13,8966;
170601;0000;;;14,9667;
170701;0000;;;14,4;
170801;0000;;;16,7097;
170901;0000;;;17,4483;
171001;0000;;;15,871;
171101;0000;;;14,1667;
171201;0000;;;12,6774;
180101;0000;;;13,2581;
180201;0000;;;9,35714;
180301;0000;;;9,64516;
180401;0000;;;12,2414;
180501;0000;;;9,87097;
180601;0000;;;10,5333;
180701;0000;;;14,7742;
180801;0000;;;16,6774;
180901;0000;;;16,3667;
181001;0000;;;15,2143;
