FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930401;0000;;;;
930501;0000;;;;
930601;0000;;;;
930701;0000;;;;
930801;0000;;68,6107;;
930901;0000;;54,1549;;
931001;0000;;74,9675;;
931101;0000;;52,3804;;
931201;0000;;61,9059;;
940101;0000;;60,9944;;
940201;0000;;65,3725;;
940301;0000;;46,668;;
940401;0000;;79,5311;;
940501;0000;;62,5445;;
940601;0000;;70,3972;;
940701;0000;;56,924;;
940801;0000;;62,7856;;
940901;0000;;67,2465;;
941001;0000;;50,973;;
941101;0000;;62,9718;;
941201;0000;;49,1072;;
950101;0000;;103,196;;
950201;0000;;37,639;;
950301;0000;;92,4695;;
950401;0000;;78,3083;;
950501;0000;;130,062;;
950601;0000;;80,3508;;
950701;0000;;65,634;;
950801;0000;;61,1143;;
950901;0000;;65,2793;;
951001;0000;;86,8025;;
951101;0000;;63,1474;;
951201;0000;;80,3156;;
960101;0000;;88,2712;;
960201;0000;;87,1167;;
960301;0000;;90,5893;;
960401;0000;;79,9857;;
960501;0000;;91,7913;;
960601;0000;;76,5928;;
960701;0000;;95,9739;;
960801;0000;;61,1438;;
960901;0000;;70,5581;;
961001;0000;;67,9079;;
961101;0000;;100,383;;
961201;0000;;93,3451;;
970101;0000;;68,384;;
970201;0000;;57,2375;;
970301;0000;;59,8849;;
970401;0000;;71,002;;
970501;0000;;34,1572;;
970601;0000;;22,3416;;
970701;0000;;52,387;;
970801;0000;;70,1699;;
970901;0000;;36,1093;;
971001;0000;;27,6837;;
971101;0000;;48,6439;;
971201;0000;;35,0106;;
980101;0000;;45,0319;;
980201;0000;;31,7057;;
980301;0000;;36,8109;;
980401;0000;;25,533;;
980501;0000;;45,4463;;
980601;0000;;30,6968;;
980701;0000;;34,1949;;
980801;0000;;24,5736;;
980901;0000;;29,1166;;
981001;0000;;37,5058;;
981101;0000;;18,3982;;
981201;0000;;22,5021;;
990101;0000;;19,0931;;
990201;0000;;13,9083;;
990301;0000;;22,8775;;
990401;0000;;24,0965;;
990501;0000;;23,6289;;
990601;0000;;26,4604;;
990701;0000;;17,0651;;
990801;0000;;15,9301;;
990901;0000;;8,79493;;
991001;0000;;12,8425;;
991101;0000;;19,1113;;
991201;0000;;33,0627;;
000101;0000;;12,8233;;
000201;0000;;20,7367;;
000301;0000;;27,7033;;
000401;0000;;16,8658;;
000501;0000;;23,1328;;
000601;0000;;9,1981;;
000701;0000;;27,486;;
000801;0000;;20,3575;;
000901;0000;;19,3111;;
001001;0000;;26,4515;;
001101;0000;;44,3033;;
001201;0000;;48,8302;;
010101;0000;;55,1344;;
010201;0000;;23,922;;
010301;0000;;59,8373;;
010401;0000;;23,7205;;
010501;0000;;15,0517;;
010601;0000;;21,3984;;
010701;0000;;15,7387;;
010801;0000;;18,8465;;
010901;0000;;14,0946;;
011001;0000;;19,2352;;
011101;0000;;22,9447;;
011201;0000;;27,3693;;
020101;0000;;31,3259;;
020201;0000;;8,14986;;
020301;0000;;25,4447;;
020401;0000;;16,5394;;
020501;0000;;13,6393;;
020601;0000;;11,5713;;
020701;0000;;20,9174;;
020801;0000;;16,4465;;
020901;0000;;26,0209;;
021001;0000;;17,2594;;
021101;0000;;10,8444;;
021201;0000;;18,4303;;
030101;0000;;17,5352;;
030201;0000;;9,29888;;
030301;0000;;13,4219;;
030401;0000;;18,7407;;
030501;0000;;14,0836;;
030601;0000;;11,4732;;
030701;0000;;6,91499;;
030801;0000;;7,63614;;
030901;0000;;9,29494;;
031001;0000;;8,12098;;
031101;0000;;11,9137;;
031201;0000;;12,8647;;
040101;0000;;13,4243;;
040201;0000;;11,783;;
040301;0000;;13,4465;;
040401;0000;;16,6345;;
040501;0000;;16,0336;;
040601;0000;;22,5647;;
040701;0000;;10,5936;;
040801;0000;;8,04809;;
040901;0000;;6,59986;;
041001;0000;;8,47389;;
041101;0000;;9,03288;;
041201;0000;;16,1777;;
050101;0000;;15,2801;;
050201;0000;;9,32386;;
050301;0000;;20,369;;
050401;0000;;20,616;;
050501;0000;;12,0878;;
050601;0000;;14,6512;;
050701;0000;;11,1759;;
050801;0000;;12,6421;;
050901;0000;;7,37223;;
051001;0000;;10,7527;;
051101;0000;;16,6714;;
051201;0000;;13,6866;;
060101;0000;;20,2197;;
060201;0000;;9,15155;;
060301;0000;;22,8289;;
060401;0000;;23,5868;;
060501;0000;;21,7385;;
060601;0000;;15,66;;
060701;0000;;14,709;;
060801;0000;;12,5162;;
060901;0000;;21,9672;;
061001;0000;;19,4835;;
061101;0000;;20,5304;;
061201;0000;;26,0987;;
070101;0000;;23,3572;;
070201;0000;;13,2014;;
070301;0000;;22,4772;;
070401;0000;;23,6625;;
070501;0000;;21,8921;;
070601;0000;;14,7848;;
070701;0000;;20,205;;
070801;0000;;13,8461;;
070901;0000;;22,9894;;
071001;0000;;26,2075;;
071101;0000;;25,2115;;
071201;0000;;22,3397;;
080101;0000;;27,9586;;
080201;0000;;20,3173;;
080301;0000;;13,4531;;
080401;0000;;22,5362;;
080501;0000;;16,0856;;
080601;0000;;24,0388;;
080701;0000;;20,5284;;
080801;0000;;22,3397;;
080901;0000;;31,1084;;
081001;0000;;21,7997;;
081101;0000;;34,4651;;
081201;0000;;24,5023;;
090101;0000;;39,905;;
090201;0000;;26,4577;;
090301;0000;;21,3157;;
090401;0000;;20,9093;;
090501;0000;;22,7845;;
090601;0000;;14,5059;;
090701;0000;;16,7036;;
090801;0000;;15,6764;;
090901;0000;;13,1398;;
091001;0000;;19,6698;;
091101;0000;;16,8709;;
091201;0000;;22,6116;;
100101;0000;;17,0851;;
100201;0000;;17,1951;;
100301;0000;;14,4416;;
100401;0000;;23,2872;;
100501;0000;;21,218;;
100601;0000;;12,8634;;
100701;0000;;12,0819;;
100801;0000;;12,8574;;
100901;0000;;17,0431;;
101001;0000;;16,4479;;
101101;0000;;15,5096;;
101201;0000;;12,7641;;
110101;0000;;15,1778;;
110201;0000;;11,9404;19,1275;
110301;0000;;11,9438;;
110401;0000;;12,9393;;
