FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0000;;46,8132;;
130201;0000;;71,0614;;
130301;0000;;86,0071;;
130401;0000;;96,9664;;
130501;0000;;38,8557;;
130601;0000;;45,292;;
130701;0000;;44,9562;;
130801;0000;;48,2527;;
130901;0000;;36,7944;;
131001;0000;;34,4954;;
131101;0000;;36,5782;;
131201;0000;;33,5316;;
140101;0000;;48,1915;;
140201;0000;;50,2651;;
140301;0000;;43,1904;35,2038;
140401;0000;;46,8937;57,8915;
140501;0000;;32,6873;;
140601;0000;;34,3107;;
140701;0000;;37,2934;;
140801;0000;;34,9557;;
140901;0000;;37,0444;;
141001;0000;;44,9591;;
141101;0000;;45,3681;;
141201;0000;;42,2494;;
150101;0000;;50,3115;;
150201;0000;;46,81;;
150301;0000;;48,9633;;
150401;0000;;59,1521;;
150501;0000;;49,4649;47,2986;
150601;0000;;55,9752;64,4699;
150701;0000;;41,7861;43,7999;
150801;0000;;40,078;;
150901;0000;;35,1158;;
151001;0000;;33,18;;
151101;0000;;40,1894;;
151201;0000;;51,4912;;
160101;0000;;57,0624;;
160201;0000;;74,3162;58,0227;
160301;0000;;62,6928;;
160401;0000;;56,0044;;
160501;0000;;44,7782;;
160601;0000;;69,8131;;
160701;0000;;55,0146;;
160801;0000;;62,663;;
160901;0000;;58,7149;;
161001;0000;;47,2749;;
161101;0000;;54,7407;55,4868;
161201;0000;;;50,5994;
170101;0000;;;73,3862;
170201;0000;;;61,0421;
170301;0000;;;46,0795;
170401;0000;;;52,2778;
170501;0000;;;34,2258;
170601;0000;;;30,5714;
170701;0000;;;40,2581;
170801;0000;;;31,8;
170901;0000;;;38,1667;
171001;0000;;;36,8387;
171101;0000;;;38,4;
171201;0000;;;41,3871;
180101;0000;;;44,7097;
180201;0000;;;48,3571;
180301;0000;;;49,4667;
180401;0000;;;44,4667;
180501;0000;;;45,3226;
180601;0000;;;41,8966;
180701;0000;;;36,0667;
180801;0000;;;38,3793;
180901;0000;;;40;
181001;0000;;;46,125;
