FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130501;0000;;5,64869;;
130601;0000;;9,70213;;
130701;0000;;6,05807;;
130801;0000;;7,25746;;
130901;0000;;4,23947;;
131001;0000;;3,30457;;
131101;0000;;1,90659;;
131201;0000;;3,68165;;
140101;0000;;3,53884;;
140201;0000;;4,32996;;
140301;0000;;3,41616;8,49889;
140401;0000;;5,20319;5,07829;
140501;0000;;15,2762;;
140601;0000;;5,25391;;
140701;0000;;7,41663;;
140801;0000;;5,85659;;
140901;0000;;5,23916;;
141001;0000;;6,06705;;
141101;0000;;5,00605;;
141201;0000;;4,20165;;
150101;0000;;3,47576;;
150201;0000;;2,90696;;
150301;0000;;3,26011;;
150401;0000;;3,80926;;
150501;0000;;4,29873;7,63428;
150601;0000;;5,81085;7,74541;
150701;0000;;7,37384;8,1234;
150801;0000;;5,66559;;
150901;0000;;3,45575;;
151001;0000;;3,11879;;
151101;0000;;2,96782;;
151201;0000;;2,93428;;
160101;0000;;3,16549;;
160201;0000;;3,68449;2,89884;
160301;0000;;3,29391;;
160401;0000;;3,95808;;
160501;0000;;7,26255;;
160601;0000;;6,73792;6,84535;
160701;0000;;7,64782;;
160801;0000;;6,37154;;
160901;0000;;3,62587;;
161001;0000;;3,64983;;
161101;0000;;3,38041;2,61906;
161201;0000;;;2,90917;
170101;0000;;;2,96643;
170201;0000;;;4,5498;
170301;0000;;;3,30591;
170401;0000;;;4,53713;
170501;0000;;;4,33609;
170601;0000;;;5,47801;
170701;0000;;;5,83133;
170801;0000;;;3,88423;
170901;0000;;;3,54805;
171001;0000;;;4,33913;
171101;0000;;;3,32768;
171201;0000;;;3,94594;
180101;0000;;;4,20882;
180201;0000;;;4,72001;
180301;0000;;;3,92793;
180401;0000;;;5,14478;
180501;0000;;;8,45845;
180601;0000;;;11,3525;
180701;0000;;;5,19754;
180801;0000;;;5,5474;
180901;0000;;;5,70258;
181001;0000;;;3,80489;
