FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0000;;6,1404;;
130201;0000;;12,7942;;
130301;0000;;14,1001;;
130401;0000;;8,09804;;
130501;0000;;4,98436;;
130601;0000;;5,75046;;
130701;0000;;5,30688;;
130801;0000;;5,99828;;
130901;0000;;3,81276;;
131001;0000;;4,30357;;
131101;0000;;3,05504;;
131201;0000;;3,94033;;
140101;0000;;6,28645;;
140201;0000;;7,23801;;
140301;0000;;5,54108;6,57788;
140401;0000;;8,63976;8,88962;
140501;0000;;10,5159;;
140601;0000;;9,83878;;
140701;0000;;10,9214;;
140801;0000;;9,14604;;
140901;0000;;8,25688;;
141001;0000;;7,24342;;
141101;0000;;6,73973;;
141201;0000;;5,17205;;
150101;0000;;5,36276;;
150201;0000;;5,39503;;
150301;0000;;6,48124;;
150401;0000;;7,38664;;
150501;0000;;8,97562;11,1047;
150601;0000;;10,5069;11,6944;
150701;0000;;11,6794;12,5416;
150801;0000;;9,70219;;
150901;0000;;8,69166;;
151001;0000;;7,3545;;
151101;0000;;6,92851;;
151201;0000;;6,31635;;
160101;0000;;6,34359;;
160201;0000;;7,39959;6,65672;
160301;0000;;8,17863;;
160401;0000;;8,07495;;
160501;0000;;10,2059;;
160601;0000;;12,0459;11,7006;
160701;0000;;10,611;;
160801;0000;;10,5049;;
160901;0000;;8,28842;;
161001;0000;;7,47115;;
161101;0000;;7,11413;5,21719;
161201;0000;;;6,08191;
170101;0000;;;6,47227;
170201;0000;;;7,11936;
170301;0000;;;7,28157;
170401;0000;;;9,35914;
170501;0000;;;10,2265;
170601;0000;;;10,2867;
170701;0000;;;11,011;
170801;0000;;;8,96933;
170901;0000;;;8,13133;
171001;0000;;;8,18161;
171101;0000;;;6,82133;
171201;0000;;;6,40133;
180101;0000;;;6,50258;
180201;0000;;;7,82036;
180301;0000;;;7,81935;
180401;0000;;;8,28333;
180501;0000;;;10,7868;
180601;0000;;;12,132;
180701;0000;;;8,92258;
180801;0000;;;9,68172;
180901;0000;;;7,56467;
181001;0000;;;5,96923;
