FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0000;;7,87821;;
130201;0000;;23,2217;;
130301;0000;;17,147;;
130401;0000;;16,3712;;
130501;0000;;9,35219;;
130601;0000;;7,62363;;
130701;0000;;7,83044;;
130801;0000;;7,9724;;
130901;0000;;8,64989;;
131001;0000;;9,30029;;
131101;0000;;7,31332;;
131201;0000;;8,35553;;
140101;0000;;10,0525;;
140201;0000;;9,1268;;
140301;0000;;14,3842;11,2113;
140401;0000;;11,8314;10,7885;
140501;0000;;7,86828;;
140601;0000;;15,5566;;
140701;0000;;14,9649;;
140801;0000;;18,5142;;
140901;0000;;18,7531;;
141001;0000;;21,9071;;
141101;0000;;19,6784;;
141201;0000;;18,353;;
150101;0000;;20,6562;;
150201;0000;;21,8905;;
150301;0000;;21,3057;;
150401;0000;;24,4301;;
150501;0000;;21,7095;18,4373;
150601;0000;;17,5281;17,927;
150701;0000;;19,2349;16,6633;
150801;0000;;18,5643;;
150901;0000;;14,1723;;
151001;0000;;15,4468;;
151101;0000;;12,8453;;
151201;0000;;10,5169;;
160101;0000;;9,11412;;
160201;0000;;5,54829;6,3768;
160301;0000;;16,4364;;
160401;0000;;15,9502;;
160501;0000;;11,621;;
160601;0000;;12,1518;13,1621;
160701;0000;;11,9093;;
160801;0000;;11,013;;
160901;0000;;13,6708;;
161001;0000;;13,1763;;
161101;0000;;10,5714;12,1673;
161201;0000;;;11,0987;
170101;0000;;;11,5005;
170201;0000;;;7,45562;
170301;0000;;;10,3429;
170401;0000;;;11,5169;
170501;0000;;;10,0968;
170601;0000;;;18,4667;
170701;0000;;;16,7419;
170801;0000;;;15;
170901;0000;;;10,3333;
171001;0000;;;14,129;
171101;0000;;;15,4667;
171201;0000;;;11,9032;
180101;0000;;;11,9355;
180201;0000;;;10,72;
180301;0000;;;12,9032;
180401;0000;;;15,3793;
180501;0000;;;15,9677;
180601;0000;;;14,8667;
180701;0000;;;17,2258;
180801;0000;;;17,7931;
180901;0000;;;16,9;
181001;0000;;;14,8846;
