FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0000;;2,49732;;
130201;0000;;3,41863;;
130301;0000;;3,33066;;
130401;0000;;7,94958;;
130501;0000;;6,92911;;
130601;0000;;9,6702;;
130701;0000;;8,91953;;
130801;0000;;10,4914;;
130901;0000;;8,17625;;
131001;0000;;7,93632;;
131101;0000;;8,49631;;
131201;0000;;5,2762;;
140101;0000;;4,76742;;
140201;0000;;5,89374;;
140301;0000;;3,76534;7,56688;
140401;0000;;7,45061;6,11466;
140501;0000;;13,0845;;
140601;0000;;7,17096;;
140701;0000;;10,303;;
140801;0000;;8,67812;;
140901;0000;;6,87976;;
141001;0000;;6,97306;;
141101;0000;;6,89363;;
141201;0000;;4,1244;;
150101;0000;;3,39928;;
150201;0000;;3,09888;;
150301;0000;;4,01032;;
150401;0000;;6,35503;;
150501;0000;;8,62792;11,7693;
150601;0000;;9,64258;14,4598;
150701;0000;;9,65406;8,54765;
150801;0000;;8,9765;;
150901;0000;;7,10051;;
151001;0000;;3,79926;;
151101;0000;;5,16344;;
151201;0000;;4,89827;;
160101;0000;;6,2245;;
160201;0000;;4,82367;3,81985;
160301;0000;;4,82303;;
160401;0000;;5,34129;;
160501;0000;;7,85964;;
160601;0000;;10,3955;7,32855;
160701;0000;;8,93265;;
160801;0000;;10,7397;;
160901;0000;;8,45436;;
161001;0000;;3,89383;;
161101;0000;;5,03856;4,23731;
161201;0000;;;4,7086;
170101;0000;;;5,12081;
170201;0000;;;6,23032;
170301;0000;;;5,11863;
170401;0000;;;5,63412;
170501;0000;;;5,70452;
170601;0000;;;7,042;
170701;0000;;;7,76903;
170801;0000;;;5,84867;
170901;0000;;;6,51833;
171001;0000;;;6,11935;
171101;0000;;;4,867;
171201;0000;;;4,11;
180101;0000;;;4,39935;
180201;0000;;;5,37571;
180301;0000;;;3,29194;
180401;0000;;;5,26067;
180501;0000;;;8,96935;
180601;0000;;;9,873;
180701;0000;;;6,74806;
180801;0000;;;9,01793;
180901;0000;;;5,14733;
181001;0000;;;4,55375;
