FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
950101;0000;;55,2451;;
960101;0000;;46,8529;;
970101;0000;;41,2673;;
980101;0000;;37,25;;
990101;0000;;33,3942;;
000101;0000;;30,3585;;
010101;0000;;27,7019;;
020101;0000;;25,1635;;
030101;0000;;22,5588;;
040101;0000;;19,5566;;
050101;0000;;15,7727;;
060101;0000;;10,303;;
070101;0000;;28,4706;;
080101;0000;;30,0661;;
090101;0000;;36,5301;;
100101;0000;;27,7637;;
110101;0000;;;;
120101;0000;;23,0573;;
130101;0000;;30,8467;;
140101;0000;;25,7698;;
150101;0000;;33,1215;;
160101;0000;;30,5797;;
170101;0000;;;25,658;
180101;0000;;;28,9393;
