FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
940101;0;;90,91370;
950101;0;;57,13370;
960101;0;;40,09510;
970101;0;;30,07050;
980101;0;;23,13570;
990101;0;;17,87240;
101;0;;14,11800;
10101;0;;11,06540;
20101;0;;8,70631;
30101;0;;6,58177;
40101;0;;4,77336;
50101;0;;2,97414;
60101;0;;0,99762;
70101;0;;14,49490;
80101;0;;13,40650;
90101;0;;16,53750;
100101;0;;13,60930;
110101;0;;;
120101;0;;6,35864;
130101;0;;8,70747;
140101;0;;10,45810;
150101;0;;9,81834;
160101;0;;8,00202;
170101;0;;;8,38578
180101;0;;;9,93943
