FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120701;0000;;;32,2928;
120801;0000;;;8,76014;
120901;0000;;;4,57106;
121001;0000;;;3,70636;
121101;0000;;;6,63608;
121201;0000;;;12,2439;
130101;0000;;;8,53912;
130201;0000;;;8,09468;
130301;0000;;;8,70658;
130401;0000;;;7,33885;
130501;0000;;;;
130601;0000;;;;
130701;0000;;;22,8547;
130801;0000;;;17,8294;
130901;0000;;;16,2041;
131001;0000;;;13,6208;
131101;0000;;;11,4986;
131201;0000;;;10,1272;
140101;0000;;;6,00468;
140201;0000;;;6,60339;
140301;0000;;;6,92534;
140401;0000;;;16,4956;
140501;0000;;;16,1856;
140601;0000;;;14,1643;
140701;0000;;;13,0629;
140801;0000;;;14,7294;
140901;0000;;;7,36869;
141001;0000;;;7,71385;
141101;0000;;;5,85616;
141201;0000;;;6,07758;
150101;0000;;;3,48627;
150201;0000;;;2,41179;
150301;0000;;;8,64011;
150401;0000;;;3,45745;
150501;0000;;;4,99126;
150601;0000;;;7,14529;
150701;0000;;;5,94327;
150801;0000;;;2,77906;
150901;0000;;;4,61246;
151001;0000;;;3,02548;
151101;0000;;;4,11629;
151201;0000;;;4,51494;
160101;0000;;;3,6661;
160201;0000;;;2,17815;
160301;0000;;;2,59106;
160401;0000;;;3,74717;
160501;0000;;;2,89549;
160601;0000;;;3,65557;
160701;0000;;;5,31827;
160801;0000;;;11,4992;
160901;0000;;;14,5067;
161001;0000;;;6,08582;
161101;0000;;;12,0597;
161201;0000;;;6,2033;
170101;0000;;;7,5959;
170201;0000;;;6,39876;
170301;0000;;;8,70186;
170401;0000;;;15,0229;
170501;0000;;;14,7384;
170601;0000;;;15,8486;
170701;0000;;;15,1742;
170801;0000;;;10,7465;
170901;0000;;;9,33267;
171001;0000;;;10,3113;
171101;0000;;;9,467;
171201;0000;;;7,81581;
180101;0000;;;7,09452;
180201;0000;;;9,76929;
180301;0000;;;3,18677;
180401;0000;;;11,4286;
180501;0000;;;16,181;
180601;0000;;;16,5607;
180701;0000;;;11,209;
180801;0000;;;11,4648;
180901;0000;;;10,9313;
181001;0000;;;6,24231;
