FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080501;0000;;12,578;;
080601;0000;;13,1389;;
080701;0000;;13,9041;;
080801;0000;;9,34232;;
080901;0000;;9,73917;;
081001;0000;;6,52727;;
081101;0000;;5,87983;;
081201;0000;;;;
090101;0000;;9,22493;;
090201;0000;;12,8647;;
090301;0000;;;;
090401;0000;;8,51024;;
090501;0000;;;;
090601;0000;;;;
090701;0000;;;;
090801;0000;;;;
090901;0000;;5,49984;;
091001;0000;;;;
091101;0000;;4,46585;;
091201;0000;;;;
100101;0000;;4,11938;;
100201;0000;;2,35731;;
100301;0000;;6,05131;;
100401;0000;;;;
100501;0000;;9,4889;;
100601;0000;;11,5881;;
100701;0000;;7,65311;;
100801;0000;;8,60746;;
100901;0000;;7,58558;;
101001;0000;;4,90812;;
101101;0000;;3,59735;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;17,2259;16,4423;
120901;0000;;6,18576;;
121001;0000;;6,55045;;
121101;0000;;1,87992;;
121201;0000;;5,27473;;
130101;0000;;3,60558;;
130201;0000;;4,86572;;
130301;0000;;3,86131;;
130401;0000;;16,9719;;
130501;0000;;16,7459;;
130601;0000;;17,1959;;
130701;0000;;16,267;;
130801;0000;;14,4767;;
130901;0000;;11,1953;;
131001;0000;;6,3398;;
131101;0000;;3,53324;;
131201;0000;;2,12359;;
140101;0000;;4,1138;;
140201;0000;;5,88369;;
140301;0000;;5,84566;;
140401;0000;;15,2752;;
140501;0000;;17,8537;;
140601;0000;;15,975;;
140701;0000;;11,0762;;
140801;0000;;11,9586;;
140901;0000;;13,4639;;
141001;0000;;9,27814;;
141101;0000;;6,14105;;
141201;0000;;5,98241;;
150101;0000;;5,97879;;
150201;0000;;8,15438;;
150301;0000;;12,9387;;
150401;0000;;20,4959;;
150501;0000;;35,227;30,9841;
150601;0000;;35,5015;37,2172;
150701;0000;;21,8431;33,9371;
150801;0000;;10,3521;;
150901;0000;;13,7562;;
151001;0000;;5,03623;;
151101;0000;;6,23638;;
151201;0000;;2,17414;4,46052;
160101;0000;;7,01486;;
160201;0000;;8,96788;6,12606;
160301;0000;;5,01573;;
160401;0000;;7,74046;;
160501;0000;;16,3615;;
160601;0000;;27,7034;26,4564;
160701;0000;;17,2916;;
160801;0000;;11,4203;;
160901;0000;;15,6654;;
161001;0000;;3,01364;;
161101;0000;;6,66687;8,9265;
161201;0000;;;6,59789;
170101;0000;;;4,74311;
170201;0000;;;5,80204;
170301;0000;;;9,89239;
170401;0000;;;17,3513;
170501;0000;;;18,7006;
170601;0000;;;19,9707;
170701;0000;;;17,8616;
170801;0000;;;17,1087;
170901;0000;;;8,696;
171001;0000;;;10,5319;
171101;0000;;;7,00433;
171201;0000;;;5,89097;
180101;0000;;;3,025;
180201;0000;;;4,39179;
180301;0000;;;4,69581;
180401;0000;;;12,366;
180501;0000;;;17,7358;
180601;0000;;;21,5359;
180701;0000;;;18,6452;
180801;0000;;;11,6777;
180901;0000;;;9,943;
181001;0000;;;5,16577;
