FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930201;0000;;;;
930301;0000;;136,585;;
930401;0000;;167,455;;
930501;0000;;179,409;;
930601;0000;;170,23;;
930701;0000;;198,547;;
930801;0000;;182,091;;
930901;0000;;149,478;;
931001;0000;;;;
931101;0000;;;;
931201;0000;;;;
940101;0000;;85,3375;;
940201;0000;;92,8748;;
940301;0000;;88,248;;
940401;0000;;93,1681;;
940501;0000;;96,027;;
940601;0000;;91,8194;;
940701;0000;;86,0009;;
940801;0000;;92,0428;;
940901;0000;;94,1393;;
941001;0000;;95,084;;
941101;0000;;92,3285;;
941201;0000;;82,1441;;
950101;0000;;61,4454;;
950201;0000;;58,6752;;
950301;0000;;54,7111;;
950401;0000;;57,9735;;
950501;0000;;55,883;;
950601;0000;;55,6878;;
950701;0000;;57,0047;;
950801;0000;;56,8203;;
950901;0000;;57,1999;;
951001;0000;;56,2188;;
951101;0000;;56,6073;;
951201;0000;;58,1031;;
960101;0000;;43,6238;;
960201;0000;;41,9881;;
960301;0000;;39,2746;;
960401;0000;;41,1006;;
960501;0000;;38,4775;;
960601;0000;;39,7587;;
960701;0000;;38,9322;;
960801;0000;;39,2943;;
960901;0000;;38,4907;;
961001;0000;;40,5544;;
961101;0000;;39,7032;;
961201;0000;;40,6935;;
970101;0000;;31,021;;
970201;0000;;30,5387;;
970301;0000;;29,2178;;
970401;0000;;29,2607;;
970501;0000;;30,2723;;
970601;0000;;29,065;;
970701;0000;;29,9408;;
970801;0000;;29,2129;;
970901;0000;;30,5787;;
971001;0000;;30,8837;;
971101;0000;;31,4843;;
971201;0000;;29,6786;;
980101;0000;;22,9252;;
980201;0000;;23,5323;;
980301;0000;;23,5536;;
980401;0000;;23,6588;;
980501;0000;;23,3797;;
980601;0000;;23,1491;;
980701;0000;;23,0035;;
980801;0000;;22,8908;;
980901;0000;;22,3122;;
981001;0000;;23,2586;;
981101;0000;;23,0754;;
981201;0000;;22,8848;;
990101;0000;;17,7717;;
990201;0000;;18,1926;;
990301;0000;;17,1129;;
990401;0000;;17,7823;;
990501;0000;;18,052;;
990601;0000;;17,8233;;
990701;0000;;17,7902;;
990801;0000;;18,4593;;
990901;0000;;18,0377;;
991001;0000;;17,1507;;
991101;0000;;18,1435;;
991201;0000;;18,2826;;
000101;0000;;14,1025;;
000201;0000;;14,3103;;
000301;0000;;13,7886;;
000401;0000;;14,6616;;
000501;0000;;14,8346;;
000601;0000;;14,0261;;
000701;0000;;14,4565;;
000801;0000;;14,0645;;
000901;0000;;13,711;;
001001;0000;;13,9143;;
001101;0000;;13,8895;;
001201;0000;;13,8858;;
010101;0000;;11,0343;;
010201;0000;;11,0615;;
010301;0000;;10,7511;;
010401;0000;;10,9948;;
010501;0000;;10,8001;;
010601;0000;;11,1489;;
010701;0000;;11,456;;
010801;0000;;11,2524;;
010901;0000;;10,9959;;
011001;0000;;11,211;;
011101;0000;;11,0989;;
011201;0000;;11,1635;;
020101;0000;;8,49909;;
020201;0000;;8,81175;;
020301;0000;;8,59226;;
020401;0000;;8,87599;;
020501;0000;;8,78144;;
020601;0000;;8,81579;;
020701;0000;;8,61381;;
020801;0000;;8,87368;;
020901;0000;;8,60902;;
021001;0000;;8,68511;;
021101;0000;;8,56966;;
021201;0000;;8,76281;;
030101;0000;;6,61778;;
030201;0000;;6,43685;;
030301;0000;;6,53385;;
030401;0000;;6,36682;;
030501;0000;;6,60549;;
030601;0000;;6,6865;;
030701;0000;;6,65904;;
030801;0000;;6,84903;;
030901;0000;;6,48909;;
031001;0000;;6,70143;;
031101;0000;;6,62314;;
031201;0000;;6,40749;;
040101;0000;;4,94471;;
040201;0000;;4,5577;;
040301;0000;;4,76275;;
040401;0000;;4,75567;;
040501;0000;;4,61845;;
040601;0000;;5,04904;;
040701;0000;;4,64995;;
040801;0000;;4,93522;;
040901;0000;;4,86572;;
041001;0000;;4,61258;;
041101;0000;;4,77255;;
041201;0000;;4,79033;;
050101;0000;;3,00334;;
050201;0000;;2,88528;;
050301;0000;;2,97508;;
050401;0000;;3,11888;;
050501;0000;;3,09726;;
050601;0000;;2,98935;;
050701;0000;;2,92818;;
050801;0000;;2,98639;;
050901;0000;;2,89142;;
051001;0000;;3,10178;;
051101;0000;;2,91096;;
051201;0000;;2,91432;;
060101;0000;;1,31627;;
060201;0000;;0,784545;;
060301;0000;;1,56395;;
060401;0000;;0,99214;;
060501;0000;;1,06222;;
060601;0000;;0,98634;;
060701;0000;;0,993018;;
060801;0000;;0,784646;;
060901;0000;;0,609797;;
061001;0000;;0,830154;;
061101;0000;;0,871932;;
061201;0000;;1,64814;;
070101;0000;;9,24509;;
070201;0000;;5,89433;;
070301;0000;;18,9714;;
070401;0000;;15,5048;;
070501;0000;;19,3411;;
070601;0000;;19,9766;;
070701;0000;;23,3911;;
070801;0000;;15,8648;;
070901;0000;;14,9289;;
071001;0000;;14,2762;;
071101;0000;;9,11046;;
071201;0000;;5,29945;;
080101;0000;;11,4914;;
080201;0000;;6,66951;;
080301;0000;;8,37733;;
080401;0000;;18,4759;;
080501;0000;;20,1433;;
080601;0000;;4,06281;;
080701;0000;;28,0945;;
080801;0000;;1,29582;;
080901;0000;;21,2934;;
081001;0000;;8,77105;;
081101;0000;;12,932;;
081201;0000;;18,9372;;
090101;0000;;25,1539;;
090201;0000;;21,721;;
090301;0000;;25,47;;
090401;0000;;8,98481;;
090501;0000;;6,51624;;
090601;0000;;6,96864;;
090701;0000;;14,0087;;
090801;0000;;20,9546;;
090901;0000;;13,4521;;
091001;0000;;22,3785;;
091101;0000;;17,2328;;
091201;0000;;15,4803;;
100101;0000;;8,4403;;
100201;0000;;10,3686;;
100301;0000;;14,0682;;
100401;0000;;;;
100501;0000;;21,6465;;
100601;0000;;17,3848;;
100701;0000;;10,0826;;
100801;0000;;13,5347;;
100901;0000;;17,8099;;
101001;0000;;12,8686;;
101101;0000;;9,2766;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;12,0328;12,0954;
120901;0000;;5,59889;;
121001;0000;;4,69389;;
121101;0000;;5,45857;;
121201;0000;;5,54104;;
130101;0000;;3,09217;;
130201;0000;;5,92972;;
130301;0000;;6,26757;;
130401;0000;;9,96098;;
130501;0000;;15,7534;;
130601;0000;;13,5146;;
130701;0000;;9,71299;;
130801;0000;;10,8861;;
130901;0000;;6,62089;;
131001;0000;;6,64132;6,19247;
131101;0000;;;5,67044;
131201;0000;;7,1551;;
140101;0000;;7,82535;;
140201;0000;;6,09178;;
140301;0000;;4,95681;12,0304;
140401;0000;;17,2128;;
140501;0000;;18,6211;;
140601;0000;;14,8867;;
140701;0000;;11,1858;;
140801;0000;;13,5365;;
140901;0000;;5,94059;;
141001;0000;;7,42324;;
141101;0000;;7,66506;;
141201;0000;;7,55329;;
150101;0000;;4,59103;5,38003;
150201;0000;;5,7756;3,63487;
150301;0000;;9,29429;;
150401;0000;;11,6093;;
150501;0000;;14,8137;;
150601;0000;;18,0936;;
150701;0000;;15,2346;;
150801;0000;;11,7201;;
150901;0000;;7,4559;;
151001;0000;;4,46968;;
151101;0000;;5,43992;6,82614;
151201;0000;;5,33886;;
160101;0000;;3,89608;;
160201;0000;;7,59701;1,81278;
160301;0000;;6,33195;;
160401;0000;;8,36174;;
160501;0000;;10,3106;;
160601;0000;;13,0438;;
160701;0000;;10,6221;;
160801;0000;;7,55541;;
160901;0000;;10,1493;;
161001;0000;;2,67585;;
161101;0000;;7,24488;4,54147;
161201;0000;;;4,62329;
170101;0000;;;7,00252;
170201;0000;;;7,99903;
170301;0000;;;8,24009;
170401;0000;;;10,4611;
170501;0000;;;7,54677;
170601;0000;;;10,1341;
170701;0000;;;11,7439;
170801;0000;;;7,13483;
170901;0000;;;8,59367;
171001;0000;;;8,41742;
171101;0000;;;6,87567;
171201;0000;;;6,82484;
180101;0000;;;7,46774;
180201;0000;;;10,0479;
180301;0000;;;5,22613;
180401;0000;;;9,74033;
180501;0000;;;15,2193;
180601;0000;;;15,2338;
180701;0000;;;9,64323;
180801;0000;;;10,3774;
180901;0000;;;9,092;
181001;0000;;;6,33077;
