FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120201;0000;;;;
120301;0000;;;9,15697;
120401;0000;;;12,4764;
120501;0000;;;14,9697;
120601;0000;;;13,3604;
120701;0000;;;19,6723;
120801;0000;;;11,1475;
120901;0000;;;8,97692;
121001;0000;;;6,45724;
121101;0000;;;;
121201;0000;;;;
130101;0000;;;;
130201;0000;;;5,48709;
130301;0000;;;5,10259;
130401;0000;;;8,83997;
130501;0000;;;12,3994;
130601;0000;;;12,3675;
130701;0000;;;8,84315;
130801;0000;;;18,3473;
130901;0000;;;8,37401;
131001;0000;;;10,6207;
131101;0000;;;5,64572;
131201;0000;;;4,68838;
140101;0000;;;5,62096;
140201;0000;;;6,74282;
140301;0000;;;7,35365;
140401;0000;;;14,4752;
140501;0000;;;17,9131;
140601;0000;;;15,015;
140701;0000;;;10,7596;
140801;0000;;;11,2404;
140901;0000;;;7,31144;
141001;0000;;;9,14712;
141101;0000;;;13,2537;
141201;0000;;;14,2984;
150101;0000;;;7,60274;
150201;0000;;;5,15269;
150301;0000;;;8,7823;
150401;0000;;;13,5899;
150501;0000;;;17,3893;
150601;0000;;;23,0111;
150701;0000;;;15,9213;
150801;0000;;;12,4592;
150901;0000;;;10,0367;
151001;0000;;;6,79299;
151101;0000;;;8,3621;
151201;0000;;;;
160101;0000;;;4,79289;
160201;0000;;;7,38054;
160301;0000;;;8,6834;
160401;0000;;;5,57012;
160501;0000;;;8,67732;
160601;0000;;;14,471;
160701;0000;;;10,4705;
160801;0000;;;7,34416;
160901;0000;;;9,57197;
161001;0000;;;3,09669;
161101;0000;;;67,3089;
161201;0000;;;;
170101;0000;;;;
170201;0000;;;9,17301;
170301;0000;;;6,04442;
170401;0000;;;6,26461;
170501;0000;;;5,59645;
170601;0000;;;6,94414;
170701;0000;;;10,7303;
170801;0000;;;6,68267;
170901;0000;;;9,01238;
171001;0000;;;7,68211;
171101;0000;;;5,72214;
171201;0000;;;5,83806;
180101;0000;;;5,50194;
180201;0000;;;5,07179;
180301;0000;;;3,07611;
180401;0000;;;;
180501;0000;;;7,3365;
180601;0000;;;10,2695;
180701;0000;;;8,81381;
180801;0000;;;6,34762;
180901;0000;;;7,67417;
181001;0000;;;5,28423;
