FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;29,805;;
930201;0000;;42,295;;
930301;0000;;41,4693;;
930401;0000;;27,8946;;
930501;0000;;21,2506;;
930601;0000;;32,6855;;
930701;0000;;20,6996;;
930801;0000;;33,2763;;
930901;0000;;24,3616;;
931001;0000;;30,9037;;
931101;0000;;12,8486;;
931201;0000;;29,0162;;
940101;0000;;34,7155;;
940201;0000;;39,9968;;
940301;0000;;40,6166;;
940401;0000;;42,0022;;
940501;0000;;35,2597;;
940601;0000;;30,6386;;
940701;0000;;31,5874;;
940801;0000;;32,398;;
940901;0000;;26,0506;;
941001;0000;;32,0301;;
941101;0000;;37,5437;;
941201;0000;;25,3613;;
950101;0000;;39,8538;;
950201;0000;;17,6594;;
950301;0000;;32,4787;;
950401;0000;;36,4929;;
950501;0000;;84,4763;;
950601;0000;;38,9401;;
950701;0000;;20,6853;;
950801;0000;;25,8523;;
950901;0000;;32,7688;;
951001;0000;;43,4184;;
951101;0000;;43,7916;;
951201;0000;;51,3989;;
960101;0000;;42,325;;
960201;0000;;46,6618;;
960301;0000;;57,3971;;
960401;0000;;48,9223;;
960501;0000;;45,9854;;
960601;0000;;51,7545;;
960701;0000;;55,3392;;
960801;0000;;42,0248;;
960901;0000;;30,3965;;
961001;0000;;29,7889;;
961101;0000;;43,2338;;
961201;0000;;42,3018;;
970101;0000;;34,2618;;
970201;0000;;39,839;;
970301;0000;;41,9346;;
970401;0000;;39,299;;
970501;0000;;21,0949;;
970601;0000;;13,9164;;
970701;0000;;36,209;;
970801;0000;;34,6553;;
970901;0000;;16,9635;;
971001;0000;;13,5985;;
971101;0000;;20,6332;;
971201;0000;;24,5392;;
980101;0000;;25,7283;;
980201;0000;;10,9419;;
980301;0000;;13,4074;;
980401;0000;;10,5631;;
980501;0000;;15,7395;;
980601;0000;;16,1953;;
980701;0000;;21,5569;;
980801;0000;;8,54498;;
980901;0000;;10,8558;;
981001;0000;;22,0493;;
981101;0000;;16,3576;;
981201;0000;;16,5308;;
990101;0000;;10,3511;;
990201;0000;;7,25428;;
990301;0000;;6,41661;;
990401;0000;;9,90213;;
990501;0000;;10,3264;;
990601;0000;;8,52062;;
990701;0000;;9,44249;;
990801;0000;;7,46336;;
990901;0000;;5,4465;;
991001;0000;;5,91949;;
991101;0000;;4,09247;;
991201;0000;;6,04202;;
000101;0000;;3,34288;;
000201;0000;;3,70753;;
000301;0000;;8,2981;;
000401;0000;;11,2273;;
000501;0000;;14,3582;;
000601;0000;;7,66866;;
000701;0000;;6,10432;;
000801;0000;;6,7299;;
000901;0000;;5,06852;;
001001;0000;;7,38017;;
001101;0000;;7,6542;;
001201;0000;;10,9483;;
010101;0000;;7,56766;;
010201;0000;;3,16685;;
010301;0000;;8,69602;;
010401;0000;;3,6991;;
010501;0000;;6,09912;;
010601;0000;;3,14249;;
010701;0000;;5,34406;;
010801;0000;;6,67205;;
010901;0000;;2,23701;;
011001;0000;;4,74964;;
011101;0000;;4,73849;;
011201;0000;;6,0667;;
020101;0000;;4,99568;;
020201;0000;;1,61937;;
020301;0000;;1,00447;;
020401;0000;;2,28201;;
020501;0000;;2,33935;;
020601;0000;;2,11177;;
020701;0000;;4,24925;;
020801;0000;;3,93842;;
020901;0000;;7,18192;;
021001;0000;;4,78811;;
021101;0000;;3,04548;;
021201;0000;;1,48441;;
030101;0000;;2,70664;;
030201;0000;;1,94645;;
030301;0000;;1,61547;;
030401;0000;;3,08466;;
030501;0000;;3,1232;;
030601;0000;;3,58831;;
030701;0000;;2,51118;;
030801;0000;;2,29725;;
030901;0000;;3,53583;;
031001;0000;;2,47797;;
031101;0000;;1,77432;;
031201;0000;;4,09158;;
040101;0000;;3,55925;;
040201;0000;;1,80992;;
040301;0000;;5,16486;;
040401;0000;;3,51285;;
040501;0000;;0,63011;;
040601;0000;;1,70469;;
040701;0000;;2,56801;;
040801;0000;;1,53185;;
040901;0000;;1,38672;;
041001;0000;;3,56227;;
041101;0000;;3,96628;;
041201;0000;;4,1498;;
050101;0000;;3,59642;;
050201;0000;;3,26922;;
050301;0000;;9,06719;;
050401;0000;;9,73427;;
050501;0000;;6,74187;;
050601;0000;;4,35389;;
050701;0000;;3,88199;;
050801;0000;;4,27146;;
050901;0000;;3,73025;;
051001;0000;;2,9484;;
051101;0000;;2,99671;;
051201;0000;;2,71745;;
060101;0000;;4,30347;;
060201;0000;;2,49934;;
060301;0000;;4,46223;;
060401;0000;;4,34467;;
060501;0000;;6,24859;;
060601;0000;;4,88086;;
060701;0000;;2,99584;;
060801;0000;;4,453;;
060901;0000;;3,18866;;
061001;0000;;2,69523;;
061101;0000;;3,33235;;
061201;0000;;3,25777;;
070101;0000;;3,13312;;
070201;0000;;2,83185;;
070301;0000;;5,32875;;
070401;0000;;4,10064;;
070501;0000;;4,84406;;
070601;0000;;5,89766;;
070701;0000;;5,41297;;
070801;0000;;6,00754;;
070901;0000;;7,15421;;
071001;0000;;11,3035;;
071101;0000;;24,8314;;
071201;0000;;9,48226;;
080101;0000;;9,30855;;
080201;0000;;8,9615;;
080301;0000;;5,17169;;
080401;0000;;11,004;;
080501;0000;;9,99085;;
080601;0000;;11,6926;;
080701;0000;;10,6885;;
080801;0000;;9,30275;;
080901;0000;;9,85473;;
081001;0000;;8,35823;;
081101;0000;;12,1586;;
081201;0000;;9,96986;;
090101;0000;;17,6183;;
090201;0000;;16,2117;;
090301;0000;;11,5837;;
090401;0000;;7,18944;;
090501;0000;;6,35105;;
090601;0000;;5,5788;;
090701;0000;;4,2631;;
090801;0000;;6,92803;;
090901;0000;;8,42132;;
091001;0000;;9,78763;;
091101;0000;;7,13059;;
091201;0000;;4,1151;;
100101;0000;;3,68264;;
100201;0000;;2,47949;;
100301;0000;;4,08704;;
100401;0000;;;;
100501;0000;;4,29281;;
100601;0000;;2,43395;;
100701;0000;;2,82646;;
100801;0000;;3,06548;;
100901;0000;;3,16256;;
101001;0000;;2,93556;;
101101;0000;;3,71222;;
101201;0000;;;;
110101;0000;;;;
110201;0000;;;;
110301;0000;;;;
110401;0000;;;;
110501;0000;;;;
110601;0000;;;;
110701;0000;;;;
110801;0000;;;;
110901;0000;;;;
111001;0000;;;;
111101;0000;;;;
111201;0000;;;;
120101;0000;;;;
120201;0000;;;;
120301;0000;;;;
120401;0000;;;;
120501;0000;;;;
120601;0000;;;;
120701;0000;;;;
120801;0000;;5,25224;6,88141;
120901;0000;;3,55624;;
121001;0000;;3,61286;;
121101;0000;;3,93184;;
121201;0000;;3,88799;;
130101;0000;;3,74763;;
130201;0000;;4,34383;;
130301;0000;;6,08378;;
130401;0000;;7,32695;;
130501;0000;;7,29242;;
130601;0000;;8,42414;;
130701;0000;;4,16131;;
130801;0000;;5,29031;;
130901;0000;;6,19215;;
131001;0000;;5,51868;;
131101;0000;;4,26699;;
131201;0000;;5,47715;;
140101;0000;;4,7643;;
140201;0000;;6,09286;;
140301;0000;;5,90821;;
140401;0000;;7,52129;9,79361;
140501;0000;;10,7537;5,60218;
140601;0000;;2,75058;;
140701;0000;;4,58363;;
140801;0000;;3,62683;;
140901;0000;;3,67292;;
141001;0000;;4,51499;6,48573;
141101;0000;;6,05034;5,6633;
141201;0000;;4,62344;4,71388;
150101;0000;;5,25591;5,84772;
150201;0000;;4,55141;;
150301;0000;;5,62586;;
150401;0000;;4,94442;;
150501;0000;;6,1048;7,80535;
150601;0000;;9,58946;6,11665;
150701;0000;;8,58539;6,77683;
150801;0000;;5,56762;;
150901;0000;;4,11231;;
