FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;44,3304;;
940101;0000;;47,2712;;
950101;0000;;45,0085;;
960101;0000;;38,9833;;
970101;0000;;36,7025;;
980101;0000;;36,8347;;
990101;0000;;29,3559;;
000101;0000;;29,3884;;
010101;0000;;26,9748;;
020101;0000;;26,3;;
030101;0000;;31,3197;;
040101;0000;;28,8264;;
050101;0000;;24,9417;;
060101;0000;;27,7459;;
070101;0000;;29,6311;;
080101;0000;;27,2459;;
090101;0000;;32,5024;;
100101;0000;;27,7604;;
110101;0000;;;;
120101;0000;;;;
130101;0000;;;;
140101;0000;;;;
150101;0000;;36,1648;;
160101;0000;;29,2806;;
