FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;28,8137;;
940101;0000;;33,9671;;
950101;0000;;39,4363;;
960101;0000;;44,6788;;
970101;0000;;28,041;;
980101;0000;;15,7693;;
990101;0000;;7,60601;;
000101;0000;;7,72704;;
010101;0000;;5,21709;;
020101;0000;;3,28101;;
030101;0000;;2,73292;;
040101;0000;;2,80431;;
050101;0000;;4,78345;;
060101;0000;;3,89939;;
070101;0000;;7,52303;;
080101;0000;;9,69514;;
090101;0000;;8,72215;;
100101;0000;;3,26783;;
110101;0000;;;;
120101;0000;;4,0261;;
130101;0000;;5,66505;;
140101;0000;;5,33006;;
150101;0000;;5,25395;;
160101;0000;;5,68172;;
170101;0000;;;4,9914;
180101;0000;;;6,87281;
