"","Region","nombre_region","provincia","Nombre_provincia","Comuna","nombre_comuna","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","a2019","a2020"
"1",5,"V  Valparaíso",56,"San Antonio",5602,"Algarrobo",8909,9041,9163,9278,9391,9507,9627,9748,9876,9994,10119,10246,10359,10474,10588,10700,10820,10938,11032
"2",13,"Región Metropolitana",135,"Melipilla",13502,"Alhué",4604,4687,4761,4840,4914,4999,5086,5185,5266,5363,5454,5540,5631,5728,5816,5916,6002,6084,6179
"3",8,"VIII  Biobío",83,"Biobío",8314,"Alto Biobío",7292,7192,7075,6968,6875,6781,6682,6603,6502,6428,6342,6258,6179,6118,6034,5957,5886,5817,5744
"4",3,"III  Atacama",33,"Huasco",3302,"Alto del Carmen",5021,5084,5165,5238,5327,5422,5534,5640,5754,5863,5975,6076,6194,6305,6412,6519,6624,6736,6829
"5",1,"I  Tarapacá",11,"Iquique",1107,"Alto Hospicio",52055,55299,58704,62314,66125,70184,74531,79163,84039,89182,94594,100226,106078,112142,118413,124872,131512,138319,145285
"6",10,"X  Los Lagos",102,"Chiloé",10202,"Ancud",41405,41721,41992,42223,42425,42607,42804,43016,43233,43418,43569,43695,43832,43978,44128,44249,44373,44476,44568
"7",4,"IV  Coquimbo",41,"Elqui",4103,"Andacollo",10671,10699,10730,10762,10807,10852,10918,10987,11061,11134,11204,11287,11348,11415,11488,11555,11619,11677,11734
"8",9,"IX   Araucanía",92,"Malleco",9201,"Angol",50771,51204,51615,51980,52337,52684,53039,53393,53727,54051,54384,54689,54995,55289,55570,55845,56103,56345,56563
"9",12,"XII  Magallanes y la Antártica",122,"Antártica Chilena",12202,"Antártica",130,133,134,141,145,145,149,157,162,167,172,181,184,192,196,202,210,214,220
"10",2,"II  Antofagasta",21,"Antofagasta",2101,"Antofagasta",307809,312798,317652,322413,327263,332305,337577,343147,348840,354659,360573,366438,372325,378244,384065,389812,395453,400967,406362
"11",8,"VIII  Biobío",83,"Biobío",8302,"Antuco",4058,4046,4044,4037,4029,4031,4017,4022,4008,3991,3986,3969,3962,3945,3926,3906,3891,3858,3842
"12",8,"VIII  Biobío",82,"Arauco",8202,"Arauco",36168,36371,36565,36749,36931,37107,37286,37471,37633,37791,37932,38051,38163,38270,38363,38431,38490,38518,38521
"13",15,"XV  Arica y Parinacota",151,"Arica",15101,"Arica",190686,192896,195302,197936,200824,204063,207639,211437,215348,219387,223486,227553,231611,235677,239710,243701,247663,251548,255390
"14",11,"XI Aysén",112,"Aysén",11201,"Aysén",22999,23351,23705,24053,24405,24779,25165,25563,25949,26313,26652,26994,27316,27644,27965,28283,28595,28914,29212
"15",13,"Región Metropolitana",134,"Maipo",13402,"Buín",65776,66994,68192,69404,70649,71923,73267,74659,76053,77457,78880,80316,81760,83211,84651,86079,87491,88895,90292
"16",8,"VIII  Biobío",84,"Ñuble",8402,"Bulnes",21356,21398,21438,21484,21513,21565,21620,21671,21725,21784,21832,21869,21910,21963,22002,22042,22081,22112,22133
