"","id10","COMUNA","dec10","N2001","N2002","N2003","N2004","N2005","N2006","N2007","N2008","N2009","N2010","N2011","N2012","N2013","N2014","N2015","N2016","N2017"
"1","A010",8101,"Fiebre tifoidea",22,22,17,7,12,15,6,3,1,5,3,3,3,3,2,1,1
"2","A010",8110,"Fiebre tifoidea",57,42,29,23,21,14,23,12,9,10,15,3,3,5,5,2,1
"3","A010",8301,"Fiebre tifoidea",9,12,5,4,12,3,1,1,3,1,1,2,2,2,1,2,3
"4","A020",1101,"Enteritis debida a salmonella",33,32,31,33,25,28,6,22,27,8,13,24,12,11,11,11,6
"5","A020",13101,"Enteritis debida a salmonella",6,6,1,1,3,11,7,2,13,7,13,11,8,5,18,12,17
"6","A020",13110,"Enteritis debida a salmonella",5,3,5,1,7,5,6,5,6,6,4,5,7,4,11,7,15
"7","A020",13113,"Enteritis debida a salmonella",7,1,1,3,6,2,4,2,2,2,3,2,1,4,2,4,5
"8","A020",13114,"Enteritis debida a salmonella",3,5,11,2,8,19,9,11,9,21,16,16,20,11,23,33,21
"9","A020",13120,"Enteritis debida a salmonella",2,1,1,1,4,2,3,3,8,7,8,12,9,5,9,9,5
"10","A020",13122,"Enteritis debida a salmonella",3,2,3,4,2,3,3,3,6,3,37,7,2,9,7,8,17
"11","A020",2201,"Enteritis debida a salmonella",18,15,9,11,8,3,7,13,12,11,9,12,3,6,1,10,1
"12","A020",5101,"Enteritis debida a salmonella",1,2,1,4,4,3,4,6,5,6,7,6,4,2,7,6,7
"13","A020",6101,"Enteritis debida a salmonella",6,4,4,9,2,5,11,10,5,9,10,5,2,5,2,3,5
"14","A039",2101,"Shigelosis de tipo no especificado",79,80,62,23,13,12,3,15,13,4,9,5,6,4,15,10,9
"15","A047",13114,"Enterocolitis debida a clostridium difficile",3,6,3,9,12,9,20,9,14,32,19,37,45,40,47,41,46
"16","A047",13119,"Enterocolitis debida a clostridium difficile",3,4,2,2,1,2,5,1,1,7,3,23,31,15,11,22,15
"17","A047",13120,"Enterocolitis debida a clostridium difficile",4,1,2,4,7,3,9,9,4,4,16,30,19,22,18,15,19
"18","A047",13123,"Enterocolitis debida a clostridium difficile",2,4,3,5,3,4,5,8,3,6,15,17,19,17,21,17,21
"19","A047",13132,"Enterocolitis debida a clostridium difficile",2,2,2,2,5,3,4,4,4,6,12,10,15,16,10,13,15
"20","A049",5109,"Infeccion intestinal bacteriana, no especificada",6,4,3,3,2,3,2,1,2,3,4,2,4,7,6,3,2
